"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"NO3_mgkgdrysoil"	"NH4_mgkgdrysoil"	"minN_mgkgdrysoil"	"NPOC_mgkgdrysoil"	"DON_mgkgdrysoil"	"MBC_mgkgdrysoil"	"MBN_mgkgdrysoil"
"1"	1	1	"NO"	"PRE"	1	0	0.233631211	0.233631211	401.7875184	17.71360497	363.9592952	29.05805632
"2"	1	1	"NO"	"24H"	1	0.536936942	0.195521971	0.732458913	171.2652201	13.0338898	184.3001845	22.39263987
"3"	1	1	"NO"	"1WK"	1	0.590606236	0.261122642	0.851728878	211.5320961	18.19693913	911.3173693	27.59613686
"4"	1	1	"NO"	"4WK"	1	0.543745614	0.117542962	0.661288576	152.8901549	8.842003952	217.633967	26.91611951
"5"	1	1	"NO"	"PRE"	2	0.513671499	0.243575688	0.757247187	257.0973994	15.24004062	294.780182	37.20351178
"6"	1	1	"NO"	"24H"	2	0.518452614	0.12743558	0.645888194	183.4133722	13.08029773	313.7307457	32.06608616
"7"	1	1	"NO"	"1WK"	2	0.519708904	0.139908541	0.659617445	178.6592929	11.70679953	893.4296645	27.22907743
"8"	1	1	"NO"	"4WK"	2	0.655306252	0.095632753	0.750939005	360.4914127	7.870414328	0	17.41714279
"9"	1	1	"NO"	"PRE"	3	0.485323726	0.180046473	0.665370199	297.4962446	12.82625462	97.59849874	22.29346527
"10"	1	1	"NO"	"24H"	3	0.518995088	0.092590813	0.611585901	324.7504268	9.633066257	0	19.80076955
"11"	1	1	"NO"	"1WK"	3	0.556946559	0.135346743	0.692293302	176.6506526	10.94818244	906.1154481	31.73835786
"12"	1	1	"NO"	"4WK"	3	0.527690115	0	0.527690115	196.6892706	9.485295446	239.1470275	26.06981856
"13"	1	1	"NO"	"PRE"	4	0.508755694	0.226601917	0.735357611	312.3728778	13.62828628	196.7584263	31.55926692
"14"	1	1	"NO"	"24H"	4	0.518588692	0.122800251	0.641388943	213.9330404	12.24730382	44.58818259	17.92261035
"15"	1	1	"NO"	"1WK"	4	0.527931112	0.130071361	0.658002473	501.1461495	9.390141762	397.5548691	32.67396774
"16"	1	1	"NO"	"4WK"	4	0.519871351	0	0.519871351	278.2648012	6.837378315	280.9241148	38.56912158
"17"	1	1	"NO"	"PRE"	5	0.503617843	0.229325061	0.732942904	308.198564	15.39081063	3.096547482	8.304119949
"18"	1	1	"NO"	"24H"	5	0.513638462	0.098580631	0.612219093	206.283834	12.9173908	286.3145524	25.60299895
"19"	1	1	"NO"	"1WK"	5	0.50662033	0.245346394	0.751966724	302.2127402	14.59153969	795.8878802	22.34122403
"20"	1	1	"NO"	"4WK"	5	0.680624886	0.106543707	0.787168593	221.01256	11.93424401	612.2490125	54.45032937
