"GrazeTime"	"Plot"	"Block"	"Treatment"	"Sample"	"Gravmois"
"1"	"PRE"	1	1	"NO"	1	5.19
"2"	"24H"	1	1	"NO"	1	7.98
"3"	"1WK"	1	1	"NO"	1	9.04
"4"	"4WK"	1	1	"NO"	1	11.81
"5"	"PRE"	1	1	"NO"	2	5.51
"6"	"24H"	1	1	"NO"	2	8.55
"7"	"1WK"	1	1	"NO"	2	5.7
"8"	"4WK"	1	1	"NO"	2	13.51
"9"	"PRE"	1	1	"NO"	3	3.91
"10"	"24H"	1	1	"NO"	3	7.51
"11"	"1WK"	1	1	"NO"	3	6.56
"12"	"4WK"	1	1	"NO"	3	10.95
"13"	"PRE"	1	1	"NO"	4	4.14
"14"	"24H"	1	1	"NO"	4	6.36
"15"	"1WK"	1	1	"NO"	4	7.07
"16"	"4WK"	1	1	"NO"	4	22.59
"17"	"PRE"	1	1	"NO"	5	2.95
"18"	"24H"	1	1	"NO"	5	8.06
"19"	"1WK"	1	1	"NO"	5	8.93
"20"	"4WK"	1	1	"NO"	5	16.76
"21"	"PRE"	2	1	"LO"	1	6.09
"22"	"24H"	2	1	"LO"	1	7.82
"23"	"1WK"	2	1	"LO"	1	9.75
"24"	"4WK"	2	1	"LO"	1	15.63
"25"	"PRE"	2	1	"LO"	2	6.61
"26"	"24H"	2	1	"LO"	2	7.69
"27"	"1WK"	2	1	"LO"	2	9.09
"28"	"4WK"	2	1	"LO"	2	11.11
"29"	"PRE"	2	1	"LO"	3	5.16
"30"	"24H"	2	1	"LO"	3	8.22
"31"	"1WK"	2	1	"LO"	3	6.69
"32"	"4WK"	2	1	"LO"	3	12.53
"33"	"PRE"	2	1	"LO"	4	2.77
"34"	"24H"	2	1	"LO"	4	9.35
"35"	"1WK"	2	1	"LO"	4	7.09
"36"	"4WK"	2	1	"LO"	4	12.32
"37"	"PRE"	2	1	"LO"	5	5.15
"38"	"24H"	2	1	"LO"	5	7.47
"39"	"1WK"	2	1	"LO"	5	9.49
"40"	"4WK"	2	1	"LO"	5	18.51
"41"	"PRE"	3	1	"HI"	1	4.37
"42"	"24H"	3	1	"HI"	1	7.19
"43"	"1WK"	3	1	"HI"	1	11.21
"44"	"4WK"	3	1	"HI"	1	9.68
"45"	"PRE"	3	1	"HI"	2	4.12
"46"	"24H"	3	1	"HI"	2	8.45
"47"	"1WK"	3	1	"HI"	2	7.66
"48"	"4WK"	3	1	"HI"	2	12.33
"49"	"PRE"	3	1	"HI"	3	9.09
"50"	"24H"	3	1	"HI"	3	13.19
"51"	"1WK"	3	1	"HI"	3	7.09
"52"	"4WK"	3	1	"HI"	3	12.8
"53"	"PRE"	3	1	"HI"	4	4.19
"54"	"24H"	3	1	"HI"	4	27.37
"55"	"1WK"	3	1	"HI"	4	9.36
"56"	"4WK"	3	1	"HI"	4	12.71
"57"	"PRE"	3	1	"HI"	5	9.71
"58"	"24H"	3	1	"HI"	5	23.65
"59"	"1WK"	3	1	"HI"	5	11.85
"60"	"4WK"	3	1	"HI"	5	16.55
"61"	"PRE"	4	2	"NO"	1	7.04
"62"	"24H"	4	2	"NO"	1	12.28
"63"	"1WK"	4	2	"NO"	1	8.3
"64"	"4WK"	4	2	"NO"	1	15.62
"65"	"PRE"	4	2	"NO"	2	8.3
"66"	"24H"	4	2	"NO"	2	7.14
"67"	"1WK"	4	2	"NO"	2	7.13
"68"	"4WK"	4	2	"NO"	2	17.21
"69"	"PRE"	4	2	"NO"	3	5.44
"70"	"24H"	4	2	"NO"	3	9.5
"71"	"1WK"	4	2	"NO"	3	7.36
"72"	"4WK"	4	2	"NO"	3	15.79
"73"	"PRE"	4	2	"NO"	4	8.62
"74"	"24H"	4	2	"NO"	4	12.09
"75"	"1WK"	4	2	"NO"	4	8.16
"76"	"4WK"	4	2	"NO"	4	15.73
"77"	"PRE"	4	2	"NO"	5	7.69
"78"	"24H"	4	2	"NO"	5	24.55
"79"	"1WK"	4	2	"NO"	5	8.97
"80"	"4WK"	4	2	"NO"	5	22.35
"81"	"PRE"	5	2	"LO"	1	5.66
"82"	"24H"	5	2	"LO"	1	9.98
"83"	"1WK"	5	2	"LO"	1	7.55
"84"	"4WK"	5	2	"LO"	1	16.99
"85"	"PRE"	5	2	"LO"	2	4.99
"86"	"24H"	5	2	"LO"	2	7.98
"87"	"1WK"	5	2	"LO"	2	6.8
"88"	"4WK"	5	2	"LO"	2	14.68
"89"	"PRE"	5	2	"LO"	3	6.03
"90"	"24H"	5	2	"LO"	3	6.8
"91"	"1WK"	5	2	"LO"	3	6.47
"92"	"4WK"	5	2	"LO"	3	18.64
"93"	"PRE"	5	2	"LO"	4	8.09
"94"	"24H"	5	2	"LO"	4	7.87
"95"	"1WK"	5	2	"LO"	4	8.02
"96"	"4WK"	5	2	"LO"	4	14.4
"97"	"PRE"	5	2	"LO"	5	4.74
"98"	"24H"	5	2	"LO"	5	8.72
"99"	"1WK"	5	2	"LO"	5	8.66
"100"	"4WK"	5	2	"LO"	5	19.59
"101"	"PRE"	6	2	"HI"	1	4.83
"102"	"24H"	6	2	"HI"	1	13.28
"103"	"1WK"	6	2	"HI"	1	8.84
"104"	"4WK"	6	2	"HI"	1	22.3
"105"	"PRE"	6	2	"HI"	2	2.41
"106"	"24H"	6	2	"HI"	2	7.36
"107"	"1WK"	6	2	"HI"	2	9.46
"108"	"4WK"	6	2	"HI"	2	16.99
"109"	"PRE"	6	2	"HI"	3	3.15
"110"	"24H"	6	2	"HI"	3	8.43
"111"	"1WK"	6	2	"HI"	3	7.53
"112"	"4WK"	6	2	"HI"	3	20.89
"113"	"PRE"	6	2	"HI"	4	7.04
"114"	"24H"	6	2	"HI"	4	9.02
"115"	"1WK"	6	2	"HI"	4	14.92
"116"	"4WK"	6	2	"HI"	4	15.55
"117"	"PRE"	6	2	"HI"	5	9.31
"118"	"24H"	6	2	"HI"	5	8.37
"119"	"1WK"	6	2	"HI"	5	16.42
"120"	"4WK"	6	2	"HI"	5	20.69
"121"	"PRE"	7	3	"LO"	1	7.42
"122"	"24H"	7	3	"LO"	1	7.06
"123"	"1WK"	7	3	"LO"	1	7.01
"124"	"4WK"	7	3	"LO"	1	13.9
"125"	"PRE"	7	3	"LO"	2	5.75
"126"	"24H"	7	3	"LO"	2	5.78
"127"	"1WK"	7	3	"LO"	2	6.31
"128"	"4WK"	7	3	"LO"	2	15.38
"129"	"PRE"	7	3	"LO"	3	4.92
"130"	"24H"	7	3	"LO"	3	6.07
"131"	"1WK"	7	3	"LO"	3	5.6
"132"	"4WK"	7	3	"LO"	3	18.15
"133"	"PRE"	7	3	"LO"	4	5.81
"134"	"24H"	7	3	"LO"	4	12.15
"135"	"1WK"	7	3	"LO"	4	4.54
"136"	"4WK"	7	3	"LO"	4	15.43
"137"	"PRE"	7	3	"LO"	5	5.45
"138"	"24H"	7	3	"LO"	5	16.41
"139"	"1WK"	7	3	"LO"	5	5.81
"140"	"4WK"	7	3	"LO"	5	17.18
"141"	"PRE"	8	3	"NO"	1	6.04
"142"	"24H"	8	3	"NO"	1	9.62
"143"	"1WK"	8	3	"NO"	1	10.08
"144"	"4WK"	8	3	"NO"	1	15.49
"145"	"PRE"	8	3	"NO"	2	4.55
"146"	"24H"	8	3	"NO"	2	11.66
