"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"Substrate"	"Enzyme_nm_g_hr"
"1"	1	1	"NO"	"PRE"	1	"AG"	0
"2"	1	1	"NO"	"24H"	1	"AG"	12.64278703
"3"	1	1	"NO"	"1WK"	1	"AG"	91.11702952
"4"	1	1	"NO"	"4WK"	1	"AG"	6.052243971
"5"	1	1	"NO"	"PRE"	1	"BG"	243.1578003
"6"	1	1	"NO"	"24H"	1	"BG"	351.3397655
"7"	1	1	"NO"	"1WK"	1	"BG"	944.0045644
"8"	1	1	"NO"	"4WK"	1	"BG"	295.1719215
"9"	1	1	"NO"	"PRE"	1	"BX"	25.34479978
"10"	1	1	"NO"	"24H"	1	"BX"	60.85749322
"11"	1	1	"NO"	"1WK"	1	"BX"	170.3108883
"12"	1	1	"NO"	"4WK"	1	"BX"	57.11139201
"13"	1	1	"NO"	"PRE"	1	"CBH"	13.98760297
"14"	1	1	"NO"	"24H"	1	"CBH"	28.52496965
"15"	1	1	"NO"	"1WK"	1	"CBH"	130.6619412
"16"	1	1	"NO"	"4WK"	1	"CBH"	35.50827855
"17"	1	1	"NO"	"PRE"	1	"LAP"	512.8556714
"18"	1	1	"NO"	"24H"	1	"LAP"	517.0446364
"19"	1	1	"NO"	"1WK"	1	"LAP"	763.3964605
"20"	1	1	"NO"	"4WK"	1	"LAP"	587.0248495
"21"	1	1	"NO"	"PRE"	1	"NAG"	10.45403277
"22"	1	1	"NO"	"24H"	1	"NAG"	0
"23"	1	1	"NO"	"1WK"	1	"NAG"	88.54349586
"24"	1	1	"NO"	"4WK"	1	"NAG"	0
"25"	1	1	"NO"	"PRE"	1	"PER1"	5.204334685
"26"	1	1	"NO"	"24H"	1	"PER1"	4.521886502
"27"	1	1	"NO"	"1WK"	1	"PER1"	1.62317097
"28"	1	1	"NO"	"4WK"	1	"PER1"	6.311716701
"29"	1	1	"NO"	"PRE"	1	"PEROX"	10.47940576
"30"	1	1	"NO"	"24H"	1	"PEROX"	9.684932053
"31"	1	1	"NO"	"1WK"	1	"PEROX"	6.996322044
"32"	1	1	"NO"	"4WK"	1	"PEROX"	9.064698263
"33"	1	1	"NO"	"PRE"	1	"PHENOX"	5.275071077
"34"	1	1	"NO"	"24H"	1	"PHENOX"	5.163045552
"35"	1	1	"NO"	"1WK"	1	"PHENOX"	5.373151074
"36"	1	1	"NO"	"4WK"	1	"PHENOX"	2.752981561
"37"	1	1	"NO"	"PRE"	1	"PHOS"	419.8803075
"38"	1	1	"NO"	"24H"	1	"PHOS"	47.27059275
"39"	1	1	"NO"	"1WK"	1	"PHOS"	416.7875291
"40"	1	1	"NO"	"4WK"	1	"PHOS"	0
"41"	1	1	"NO"	"PRE"	2	"AG"	17.276992
