"GrazeTime"	"Plot"	"Block"	"Treatment"	"Sample"	"pH"
"1"	"PRE"	1	1	"NO"	1	7.79
"2"	"4WK"	1	1	"NO"	1	7.67
"3"	"PRE"	1	1	"NO"	2	7.83
"4"	"4WK"	1	1	"NO"	2	7.44
"5"	"PRE"	1	1	"NO"	3	7.76
"6"	"4WK"	1	1	"NO"	3	7.65
"7"	"PRE"	1	1	"NO"	4	7.96
"8"	"4WK"	1	1	"NO"	4	7.32
"9"	"PRE"	1	1	"NO"	5	7.56
"10"	"4WK"	1	1	"NO"	5	7.56
"11"	"PRE"	2	1	"LO"	1	7.64
"12"	"4WK"	2	1	"LO"	1	7.3
"13"	"PRE"	2	1	"LO"	2	7.57
"14"	"4WK"	2	1	"LO"	2	7.61
"15"	"PRE"	2	1	"LO"	3	7.7
"16"	"4WK"	2	1	"LO"	3	7.55
"17"	"PRE"	2	1	"LO"	4	7.62
"18"	"4WK"	2	1	"LO"	4	7.56
"19"	"PRE"	2	1	"LO"	5	7.63
"20"	"4WK"	2	1	"LO"	5	7.46
"21"	"PRE"	3	1	"HI"	1	7.77
"22"	"4WK"	3	1	"HI"	1	7.35
"23"	"PRE"	3	1	"HI"	2	7.57
"24"	"4WK"	3	1	"HI"	2	7.42
"25"	"PRE"	3	1	"HI"	3	7.72
"26"	"4WK"	3	1	"HI"	3	7.37
"27"	"PRE"	3	1	"HI"	4	7.61
"28"	"4WK"	3	1	"HI"	4	7.54
"29"	"PRE"	3	1	"HI"	5	7.53
"30"	"4WK"	3	1	"HI"	5	7.31
"31"	"PRE"	4	2	"NO"	1	7.44
"32"	"4WK"	4	2	"NO"	1	7.17
"33"	"PRE"	4	2	"NO"	2	7.42
"34"	"4WK"	4	2	"NO"	2	7.19
"35"	"PRE"	4	2	"NO"	3	7.42
"36"	"4WK"	4	2	"NO"	3	7.26
"37"	"PRE"	4	2	"NO"	4	7.48
"38"	"4WK"	4	2	"NO"	4	7.35
"39"	"PRE"	4	2	"NO"	5	7.65
"40"	"4WK"	4	2	"NO"	5	7.41
"41"	"PRE"	5	2	"LO"	1	7.52
"42"	"4WK"	5	2	"LO"	1	7.27
"43"	"PRE"	5	2	"LO"	2	7.43
"44"	"4WK"	5	2	"LO"	2	7.25
"45"	"PRE"	5	2	"LO"	3	7.49
"46"	"4WK"	5	2	"LO"	3	7.28
"47"	"PRE"	5	2	"LO"	4	7.43
"48"	"4WK"	5	2	"LO"	4	7.41
"49"	"PRE"	5	2	"LO"	5	7.49
"50"	"4WK"	5	2	"LO"	5	7.28
"51"	"PRE"	6	2	"HI"	1	6.81
"52"	"4WK"	6	2	"HI"	1	7.04
"53"	"PRE"	6	2	"HI"	2	7.34
"54"	"4WK"	6	2	"HI"	2	7.39
"55"	"PRE"	6	2	"HI"	3	7.32
"56"	"4WK"	6	2	"HI"	3	7.42
"57"	"PRE"	6	2	"HI"	4	7.43
"58"	"4WK"	6	2	"HI"	4	7.44
"59"	"PRE"	6	2	"HI"	5	5.8
"60"	"4WK"	6	2	"HI"	5	7.56
"61"	"PRE"	7	3	"LO"	1	7.37
"62"	"4WK"	7	3	"LO"	1	7.39
"63"	"PRE"	7	3	"LO"	2	7.34
"64"	"4WK"	7	3	"LO"	2	7.14
"65"	"PRE"	7	3	"LO"	3	7.39
"66"	"4WK"	7	3	"LO"	3	7.29
"67"	"PRE"	7	3	"LO"	4	7.42
"68"	"4WK"	7	3	"LO"	4	7.24
"69"	"PRE"	7	3	"LO"	5	7.43
"70"	"4WK"	7	3	"LO"	5	7.3
"71"	"PRE"	8	3	"NO"	1	7.45
"72"	"4WK"	8	3	"NO"	1	7.47
"73"	"PRE"	8	3	"NO"	2	7.24
"74"	"4WK"	8	3	"NO"	2	7.33
