"Plot"	"GrazeTime"	"Block"	"Treatment"	"grav_mois"	"DON_mgkgdrysoil"	"NPOC_mgkgdrysoil"	"mineralN_mgkgdrysoil"	"NH4_mgkgdrysoil"	"NO3_mgkgdrysoil"
1	"PRE"	1	"NO"	3.91198044	5.019	231.102	9.412	8.863	0.549
2	"PRE"	1	"LO"	6.772908367	7.886	219.786	4.545	4.545	0
3	"PRE"	1	"HI"	8.168316832	9.03	287.162	5.899	5.899	0
4	"PRE"	2	"NO"	7.606263982	4.108	288.497	12.61	9.728	2.882
5	"PRE"	2	"LO"	7.478632479	4.887	194.016	4.741	4.741	0
6	"PRE"	2	"HI"	8.97755611	10.821	519.84	14.189	11.411	2.778
7	"PRE"	3	"LO"	8.294930876	5.292	221.139	4.782	4.782	0
8	"PRE"	3	"NO"	9.848484848	2.965	234.002	7.038	5.428	1.61
9	"PRE"	3	"HI"	9.725685786	12.509	368.839	8.944	6.838	2.106
10	"PRE"	4	"HI"	8.229426434	14.515	514.088	15.983	12.828	3.155
11	"PRE"	4	"LO"	7.983193277	5.313	255.482	7.603	7.603	0
12	"PRE"	4	"NO"	6.932773109	5.685	292.771	6.462	6.462	0
1	"24H"	1	"NO"	3.96039604	7.84	173.787	7.274	7.274	0
2	"24H"	1	"LO"	7.872340426	11.561	309.441	6.736	6.736	0
3	"24H"	1	"HI"	8.401639344	15.353	377.672	9.933	9.933	0
4	"24H"	2	"NO"	7.532956685	18.466	338.523	10.677	10.677	0
5	"24H"	2	"LO"	6.586826347	14.279	419.512	10.541	10.541	0
6	"24H"	2	"HI"	8.113207547	0	300.703	20.623	13.894	6.729
7	"24H"	3	"LO"	4.721030043	11.359	422.999	10.126	10.126	0
8	"24H"	3	"NO"	6.540084388	8.462	308.389	8.078	8.078	0
9	"24H"	3	"HI"	5.009633911	7.201	301.768	9.383	9.383	0
10	"24H"	4	"HI"	7.035175879	18.46	461.11	6.806	6.806	0
11	"24H"	4	"LO"	9.185803758	7.052	292.49	10.694	10.517	0.177
12	"24H"	4	"NO"	8.216432866	1.825	283.758	11.971	7.331	4.64
1	"1WK"	1	"NO"	16.15245009	0.494	194.236	11.832	5.469	6.363
2	"1WK"	1	"LO"	19.44444444	0	202.072	15.395	9.636	5.759
3	"1WK"	1	"HI"	20.63492063	4.928	187.764	6.736	6.736	0
4	"1WK"	2	"NO"	20.25	5.101	185.433	11.496	11.496	0
5	"1WK"	2	"LO"	18.2194617	7.912	284.174	7.177	7.177	0
6	"1WK"	2	"HI"	22.09302326	3.828	164.73	4.019	4.019	0
7	"1WK"	3	"LO"	22.44488978	0	164.897	95.929	9.796	86.133
8	"1WK"	3	"NO"	22.82051282	0	172.009	13.688	8.29	5.398
9	"1WK"	3	"HI"	20.93495935	0	239.491	11.263	5.784	5.479
10	"1WK"	4	"HI"	20.0811359	0	201.879	80.469	70.316	10.153
11	"1WK"	4	"LO"	20	4.251	196.01	3.568	3.568	0
12	"1WK"	4	"NO"	22.08436725	7.276	226.106	7.184	7.184	0
1	"4WK"	1	"NO"	16.63652803	0	184.27	14.323	5.382	8.941
2	"4WK"	1	"LO"	20.64516129	0	177.294	11.047	5.406	5.641
3	"4WK"	1	"HI"	21.55172414	6.223	252.526	6.091	6.021	0.07
4	"4WK"	2	"NO"	24.36781609	2.799	238.783	6.573	5.737	0.836
5	"4WK"	2	"LO"	23.25581395	16.427	401.813	4.163	4.163	0
6	"4WK"	2	"HI"	26.08695652	0	309.699	111.482	11.467	100.015
7	"4WK"	3	"LO"	6.883365201	0	156.067	43.953	11.498	32.455
8	"4WK"	3	"NO"	7.002188184	5.664	251.106	7.513	7.513	0
9	"4WK"	3	"HI"	6.082289803	2.978	210.846	7.439	7.428	0.011
10	"4WK"	4	"HI"	6.374501992	8.246	341.351	6.823	6.823	0
11	"4WK"	4	"LO"	6.160164271	13.56120142	374.5910261	8.616621784	8.605480072	0.011141712
