"GrazeTime"	"Block"	"Treatment"	"Plot"	"no3_mgkgdrysoil"	"nh4_mgkgdrysoil"	"minN_mgkgdrysoil"	"grav_mois"
"PRE"	1	"NO"	1	0.305175004	0.264263888	0.569438892	3.91
"PRE"	1	"LO"	2	0.285288959	0.143372377	0.428661336	6.77
"PRE"	1	"HI"	3	0.30119597	0.179185918	0.480381888	8.17
"PRE"	2	"NO"	4	0.301479114	0.311975839	0.613454953	7.61
"PRE"	2	"LO"	5	0.289174672	0.148005131	0.437179803	7.48
"PRE"	2	"HI"	6	0.313325245	0.359638507	0.672963752	8.98
"PRE"	3	"LO"	7	0.290098036	0.147127172	0.437225208	8.29
"PRE"	3	"NO"	8	0.332172695	0.164605223	0.496777918	9.85
"PRE"	3	"HI"	9	0.316912993	0.212102422	0.529015415	9.73
"PRE"	4	"HI"	10	0.315089565	0.402709763	0.717799328	8.23
"PRE"	4	"LO"	11	0.310061836	0.246179168	0.556241004	7.98
"PRE"	4	"NO"	12	0.305741366	0.20520399	0.510945356	6.93
"24H"	1	"NO"	1	0.301279922	0.22871965	0.529999572	3.96
"24H"	1	"LO"	2	0.303056298	0.215637015	0.518693313	7.87
"24H"	1	"HI"	3	0.308499255	0.329135238	0.637634493	8.4
"24H"	2	"NO"	4	0.307615925	0.359069794	0.666685719	7.53
"24H"	2	"LO"	5	0.305880823	0.345599989	0.651480812	6.59
"24H"	2	"HI"	6	0.337625539	0.473485573	0.811111112	8.11
"24H"	3	"LO"	7	0.297740247	0.227915533	0.52565578	4.72
"24H"	3	"NO"	8	0.290044284	0.258803866	0.54884815	6.54
"24H"	3	"HI"	9	0.296846903	0.304251323	0.601098226	5.01
"24H"	4	"HI"	10	0.308909488	0.229341625	0.538251113	7.04
"24H"	4	"LO"	11	0.311785072	0.350110453	0.661895525	9.19
"24H"	4	"NO"	12	0.333982002	0.240206792	0.574188794	8.22
"1WK"	1	"NO"	1	0.357111903	0.195586339	0.552698242	16.15
"1WK"	1	"LO"	2	0.35488026	0.341511532	0.696391792	19.44
"1WK"	1	"HI"	3	0.357336342	0.238189571	0.595525913	20.63
"1WK"	2	"NO"	4	0.340437256	0.402009494	0.74244675	20.25
"1WK"	2	"LO"	5	0.348754824	0.256215443	0.604970267	18.22
"1WK"	2	"HI"	6	0.365032526	0.136921552	0.501954078	22.09
"1WK"	3	"LO"	7	0.613138733	0.372695572	0.985834305	22.44
"1WK"	3	"NO"	8	0.381219429	0.289397934	0.670617363	22.82
"1WK"	3	"HI"	9	0.355651739	0.210988111	0.56663985	20.93
"1WK"	4	"HI"	10	0.378142294	2.694431845	3.072574139	20.08
"1WK"	4	"LO"	11	0.34891062	0.121728836	0.470639456	20
"1WK"	4	"NO"	12	0.339038546	0.250976753	0.590015299	22.08
"4WK"	1	"NO"	1	0.369652961	0.193206486	0.562859447	16.64
"4WK"	1	"LO"	2	0.373351448	0.19174204	0.565093488	20.65
"4WK"	1	"HI"	3	0.365551502	0.216561667	0.582113169	21.55
"4WK"	2	"NO"	4	0.348596877	0.207519048	0.556115925	24.37
"4WK"	2	"LO"	5	0.36375734	0.152584313	0.516341653	23.26
"4WK"	2	"HI"	6	0.644229436	0.427603374	1.07183281	26.09
"4WK"	3	"LO"	7	0.399958669	0.383551919	0.783510588	6.88
"4WK"	3	"NO"	8	0.307892553	0.237674231	0.545566784	7
"4WK"	3	"HI"	9	0.313821912	0.245340002	0.559161914	6.08
"4WK"	4	"HI"	10	0.312265997	0.218951935	0.531217932	6.37
"4WK"	4	"LO"	11	0.305362322	0.276874881	0.582237203	6.16
