"Plot"	"Treatment"	"Block"	"GrazeTime"	"AG"	"BG"	"BX"	"CBH"	"LAP"	"NAG"	"PER1"	"PEROX"	"PHENOX"	"PHOS"
1	"NO"	1	"1WK"	37.48602705	283.968783	57.21942349	35.81040783	730.778508	5.382594263	3.612142397	6.286356561	2.674214163	178.3755302
1	"NO"	1	"24H"	60.86136188	323.6283351	109.2798851	38.41476501	800.6547514	32.62350032	2.159057237	3.89967399	1.740616753	155.7716152
1	"NO"	1	"4WK"	33.52861687	331.4103137	66.05634758	34.03336829	669.0874531	18.7301309	2.638184556	6.12018511	3.482000553	213.6228018
1	"NO"	1	"PRE"	115.2193629	379.1921681	122.0015859	69.33452069	726.7252174	38.78152649	0.360822579	3.736908307	3.376085727	192.4783928
2	"LO"	1	"1WK"	45.93383443	429.1194986	95.42632992	50.43988991	945.8420413	39.24797323	3.252250676	5.82278481	2.570534134	202.9885664
2	"LO"	1	"24H"	73.79512719	442.6879289	108.8579417	66.77440248	820.714725	41.00019669	2.422055256	3.914128848	1.492073592	180.9628981
2	"LO"	1	"4WK"	59.88384896	452.4188978	100.9911554	60.22935089	903.7653973	29.97678501	2.940030393	5.906965915	2.966935522	229.0517898
2	"LO"	1	"PRE"	80.1846765	467.8303283	122.9520831	63.32428439	748.5888828	39.05575523	0.508542717	3.204504034	2.695961317	156.7187716
3	"HI"	1	"1WK"	60.19840127	445.4484044	92.80323727	60.54487209	857.916624	26.61927787	4.251506968	6.219184351	1.967677383	233.1118687
3	"HI"	1	"24H"	100.2180237	568.3199717	136.4074525	97.99406929	1017.625142	61.39170163	2.344164008	4.161455832	1.817291824	219.9562546
3	"HI"	1	"4WK"	51.39321973	373.1724856	77.04918456	49.12111508	801.554674	30.30570023	3.989582654	6.104336104	2.11475345	231.2769951
3	"HI"	1	"PRE"	120.7269477	491.7034848	162.7060146	96.68051841	889.8084752	54.2413075	0	3.933759756	4.645285275	128.754692
4	"NO"	2	"1WK"	80.10523924	431.3312036	100.1907383	63.4507606	997.6430168	34.30917555	2.659051344	3.651191383	0.992140039	41.10772638
4	"NO"	2	"24H"	94.5962391	448.1834493	117.0059072	66.37290035	747.3369746	49.15780554	1.452107922	2.250302166	0.798194244	61.5209619
4	"NO"	2	"4WK"	78.62853635	333.7885328	105.1342409	63.08705266	1122.17156	37.09110946	2.59745457	5.91170468	3.314250109	117.8991885
4	"NO"	2	"PRE"	127.8736052	579.0163947	169.9522862	94.0709773	1061.347157	53.87487867	0	2.69670215	5.432367375	77.02180093
5	"LO"	2	"1WK"	36.06070515	306.9933372	81.15091864	47.3046796	755.0394613	18.15356287	3.554443932	5.326133009	1.771689077	16.87003404
5	"LO"	2	"24H"	47.87052482	312.5563714	83.53173869	30.20026799	770.8977343	52.42329573	1.718709854	2.32710656	0.608396706	3.904230694
5	"LO"	2	"4WK"	43.60810853	334.4735624	56.08221606	26.93373541	600.606553	16.35783222	1.981712372	0.2210644	0	0
