"Plot"	"Treatment"	"Block"	"GrazeTime"	"Substrate"	"Enzyme_nm_g_hr"
1	"NO"	1	"PRE"	"AG"	115.2193629
1	"NO"	1	"PRE"	"BG"	379.1921681
1	"NO"	1	"PRE"	"BX"	122.0015859
1	"NO"	1	"PRE"	"CBH"	69.33452069
1	"NO"	1	"PRE"	"LAP"	726.7252174
1	"NO"	1	"PRE"	"NAG"	38.78152649
1	"NO"	1	"PRE"	"PER1"	0.360822579
1	"NO"	1	"PRE"	"PEROX"	3.736908307
1	"NO"	1	"PRE"	"PHENOX"	3.376085727
1	"NO"	1	"PRE"	"PHOS"	192.4783928
1	"NO"	1	"24H"	"AG"	60.86136188
1	"NO"	1	"24H"	"BG"	323.6283351
1	"NO"	1	"24H"	"BX"	109.2798851
1	"NO"	1	"24H"	"CBH"	38.41476501
1	"NO"	1	"24H"	"LAP"	800.6547514
1	"NO"	1	"24H"	"NAG"	32.62350032
1	"NO"	1	"24H"	"PER1"	2.159057237
1	"NO"	1	"24H"	"PEROX"	3.89967399
1	"NO"	1	"24H"	"PHENOX"	1.740616753
1	"NO"	1	"24H"	"PHOS"	155.7716152
1	"NO"	1	"1WK"	"AG"	37.48602705
1	"NO"	1	"1WK"	"BG"	283.968783
1	"NO"	1	"1WK"	"BX"	57.21942349
1	"NO"	1	"1WK"	"CBH"	35.81040783
1	"NO"	1	"1WK"	"LAP"	730.778508
1	"NO"	1	"1WK"	"NAG"	5.382594263
1	"NO"	1	"1WK"	"PER1"	3.612142397
1	"NO"	1	"1WK"	"PEROX"	6.286356561
1	"NO"	1	"1WK"	"PHENOX"	2.674214163
1	"NO"	1	"1WK"	"PHOS"	178.3755302
1	"NO"	1	"4WK"	"AG"	33.52861687
1	"NO"	1	"4WK"	"BG"	331.4103137
1	"NO"	1	"4WK"	"BX"	66.05634758
1	"NO"	1	"4WK"	"CBH"	34.03336829
1	"NO"	1	"4WK"	"LAP"	669.0874531
1	"NO"	1	"4WK"	"NAG"	18.7301309
1	"NO"	1	"4WK"	"PER1"	2.638184556
1	"NO"	1	"4WK"	"PEROX"	6.12018511
1	"NO"	1	"4WK"	"PHENOX"	3.482000553
1	"NO"	1	"4WK"	"PHOS"	213.6228018
2	"LO"	1	"PRE"	"AG"	80.1846765
2	"LO"	1	"PRE"	"BG"	467.8303283
2	"LO"	1	"PRE"	"BX"	122.9520831
2	"LO"	1	"PRE"	"CBH"	63.32428439
2	"LO"	1	"PRE"	"LAP"	748.5888828
2	"LO"	1	"PRE"	"NAG"	39.05575523
2	"LO"	1	"PRE"	"PER1"	0.508542717
2	"LO"	1	"PRE"	"PEROX"	3.204504034
2	"LO"	1	"PRE"	"PHENOX"	2.695961317
2	"LO"	1	"PRE"	"PHOS"	156.7187716
2	"LO"	1	"24H"	"AG"	73.79512719
2	"LO"	1	"24H"	"BG"	442.6879289
2	"LO"	1	"24H"	"BX"	108.8579417
2	"LO"	1	"24H"	"CBH"	66.77440248
2	"LO"	1	"24H"	"LAP"	820.714725
2	"LO"	1	"24H"	"NAG"	41.00019669
2	"LO"	1	"24H"	"PER1"	2.422055256
2	"LO"	1	"24H"	"PEROX"	3.914128848
2	"LO"	1	"24H"	"PHENOX"	1.492073592
2	"LO"	1	"24H"	"PHOS"	180.9628981
2	"LO"	1	"1WK"	"AG"	45.93383443
2	"LO"	1	"1WK"	"BG"	429.1194986
2	"LO"	1	"1WK"	"BX"	95.42632992
2	"LO"	1	"1WK"	"CBH"	50.43988991
2	"LO"	1	"1WK"	"LAP"	945.8420413
2	"LO"	1	"1WK"	"NAG"	39.24797323
2	"LO"	1	"1WK"	"PER1"	3.252250676
2	"LO"	1	"1WK"	"PEROX"	5.82278481
2	"LO"	1	"1WK"	"PHENOX"	2.570534134
2	"LO"	1	"1WK"	"PHOS"	202.9885664
2	"LO"	1	"4WK"	"AG"	59.88384896
2	"LO"	1	"4WK"	"BG"	452.4188978
2	"LO"	1	"4WK"	"BX"	100.9911554
2	"LO"	1	"4WK"	"CBH"	60.22935089
2	"LO"	1	"4WK"	"LAP"	903.7653973
2	"LO"	1	"4WK"	"NAG"	29.97678501
2	"LO"	1	"4WK"	"PER1"	2.940030393
2	"LO"	1	"4WK"	"PEROX"	5.906965915
2	"LO"	1	"4WK"	"PHENOX"	2.966935522
2	"LO"	1	"4WK"	"PHOS"	229.0517898
3	"HI"	1	"PRE"	"AG"	120.7269477
3	"HI"	1	"PRE"	"BG"	491.7034848
3	"HI"	1	"PRE"	"BX"	162.7060146
3	"HI"	1	"PRE"	"CBH"	96.68051841
3	"HI"	1	"PRE"	"LAP"	889.8084752
3	"HI"	1	"PRE"	"NAG"	54.2413075
3	"HI"	1	"PRE"	"PER1"	0
3	"HI"	1	"PRE"	"PEROX"	3.933759756
3	"HI"	1	"PRE"	"PHENOX"	4.645285275
3	"HI"	1	"PRE"	"PHOS"	128.754692
3	"HI"	1	"24H"	"AG"	100.2180237
3	"HI"	1	"24H"	"BG"	568.3199717
3	"HI"	1	"24H"	"BX"	136.4074525
3	"HI"	1	"24H"	"CBH"	97.99406929
3	"HI"	1	"24H"	"LAP"	1017.625142
3	"HI"	1	"24H"	"NAG"	61.39170163
3	"HI"	1	"24H"	"PER1"	2.344164008
3	"HI"	1	"24H"	"PEROX"	4.161455832
3	"HI"	1	"24H"	"PHENOX"	1.817291824
3	"HI"	1	"24H"	"PHOS"	219.9562546
3	"HI"	1	"1WK"	"AG"	60.19840127
3	"HI"	1	"1WK"	"BG"	445.4484044
3	"HI"	1	"1WK"	"BX"	92.80323727
3	"HI"	1	"1WK"	"CBH"	60.54487209
3	"HI"	1	"1WK"	"LAP"	857.916624
3	"HI"	1	"1WK"	"NAG"	26.61927787
3	"HI"	1	"1WK"	"PER1"	4.251506968
3	"HI"	1	"1WK"	"PEROX"	6.219184351
3	"HI"	1	"1WK"	"PHENOX"	1.967677383
3	"HI"	1	"1WK"	"PHOS"	233.1118687
3	"HI"	1	"4WK"	"AG"	51.39321973
3	"HI"	1	"4WK"	"BG"	373.1724856
3	"HI"	1	"4WK"	"BX"	77.04918456
3	"HI"	1	"4WK"	"CBH"	49.12111508
3	"HI"	1	"4WK"	"LAP"	801.554674
3	"HI"	1	"4WK"	"NAG"	30.30570023
3	"HI"	1	"4WK"	"PER1"	3.989582654
3	"HI"	1	"4WK"	"PEROX"	6.104336104
3	"HI"	1	"4WK"	"PHENOX"	2.11475345
3	"HI"	1	"4WK"	"PHOS"	231.2769951
4	"NO"	2	"PRE"	"AG"	127.8736052
4	"NO"	2	"PRE"	"BG"	579.0163947
4	"NO"	2	"PRE"	"BX"	169.9522862
4	"NO"	2	"PRE"	"CBH"	94.0709773
4	"NO"	2	"PRE"	"LAP"	1061.347157
4	"NO"	2	"PRE"	"NAG"	53.87487867
4	"NO"	2	"PRE"	"PER1"	0
4	"NO"	2	"PRE"	"PEROX"	2.69670215
4	"NO"	2	"PRE"	"PHENOX"	5.432367375
4	"NO"	2	"PRE"	"PHOS"	77.02180093
4	"NO"	2	"24H"	"AG"	94.5962391
4	"NO"	2	"24H"	"BG"	448.1834493
4	"NO"	2	"24H"	"BX"	117.0059072
4	"NO"	2	"24H"	"CBH"	66.37290035
4	"NO"	2	"24H"	"LAP"	747.3369746
4	"NO"	2	"24H"	"NAG"	49.15780554
4	"NO"	2	"24H"	"PER1"	1.452107922
4	"NO"	2	"24H"	"PEROX"	2.250302166
4	"NO"	2	"24H"	"PHENOX"	0.798194244
4	"NO"	2	"24H"	"PHOS"	61.5209619
4	"NO"	2	"1WK"	"AG"	80.10523924
4	"NO"	2	"1WK"	"BG"	431.3312036
4	"NO"	2	"1WK"	"BX"	100.1907383
4	"NO"	2	"1WK"	"CBH"	63.4507606
4	"NO"	2	"1WK"	"LAP"	997.6430168
4	"NO"	2	"1WK"	"NAG"	34.30917555
4	"NO"	2	"1WK"	"PER1"	2.659051344
4	"NO"	2	"1WK"	"PEROX"	3.651191383
4	"NO"	2	"1WK"	"PHENOX"	0.992140039
4	"NO"	2	"1WK"	"PHOS"	41.10772638
4	"NO"	2	"4WK"	"AG"	78.62853635
4	"NO"	2	"4WK"	"BG"	333.7885328
4	"NO"	2	"4WK"	"BX"	105.1342409
4	"NO"	2	"4WK"	"CBH"	63.08705266
4	"NO"	2	"4WK"	"LAP"	1122.17156
4	"NO"	2	"4WK"	"NAG"	37.09110946
4	"NO"	2	"4WK"	"PER1"	2.59745457
4	"NO"	2	"4WK"	"PEROX"	5.91170468
4	"NO"	2	"4WK"	"PHENOX"	3.314250109
4	"NO"	2	"4WK"	"PHOS"	117.8991885
5	"LO"	2	"PRE"	"AG"	76.59592993
5	"LO"	2	"PRE"	"BG"	484.0868746
5	"LO"	2	"PRE"	"BX"	106.7032137
5	"LO"	2	"PRE"	"CBH"	58.29639594
5	"LO"	2	"PRE"	"LAP"	837.0239751
5	"LO"	2	"PRE"	"NAG"	39.94684135
5	"LO"	2	"PRE"	"PER1"	1.318994849
5	"LO"	2	"PRE"	"PEROX"	3.014489863
5	"LO"	2	"PRE"	"PHENOX"	1.695495015
5	"LO"	2	"PRE"	"PHOS"	76.94567176
5	"LO"	2	"24H"	"AG"	47.87052482
5	"LO"	2	"24H"	"BG"	312.5563714
5	"LO"	2	"24H"	"BX"	83.53173869
5	"LO"	2	"24H"	"CBH"	30.20026799
5	"LO"	2	"24H"	"LAP"	770.8977343
5	"LO"	2	"24H"	"NAG"	52.42329573
5	"LO"	2	"24H"	"PER1"	1.718709854
5	"LO"	2	"24H"	"PEROX"	2.32710656
5	"LO"	2	"24H"	"PHENOX"	0.608396706
5	"LO"	2	"24H"	"PHOS"	3.904230694
5	"LO"	2	"1WK"	"AG"	36.06070515
5	"LO"	2	"1WK"	"BG"	306.9933372
5	"LO"	2	"1WK"	"BX"	81.15091864
5	"LO"	2	"1WK"	"CBH"	47.3046796
5	"LO"	2	"1WK"	"LAP"	755.0394613
5	"LO"	2	"1WK"	"NAG"	18.15356287
5	"LO"	2	"1WK"	"PER1"	3.554443932
5	"LO"	2	"1WK"	"PEROX"	5.326133009
5	"LO"	2	"1WK"	"PHENOX"	1.771689077
5	"LO"	2	"1WK"	"PHOS"	16.87003404
5	"LO"	2	"4WK"	"AG"	43.60810853
5	"LO"	2	"4WK"	"BG"	334.4735624
5	"LO"	2	"4WK"	"BX"	56.08221606
5	"LO"	2	"4WK"	"CBH"	26.93373541
