"Plot"	"Block"	"Treatment"	"GrazeTime"	"NO3_mgkgdrysoil"	"NH4_mgkgdrysoil"	"mineralN_mgkgdrysoil"	"NPOC_mgkgdrysoil"	"DON_mgkgdrysoil"	"grav_moist"
"1"	1	1	"NO"	"PRE"	0.396	0.343	0.739	231.102	13.693	3.91
"2"	2	1	"LO"	"PRE"	0.338	0.17	0.508	219.786	10.582	6.77
"3"	3	1	"HI"	"PRE"	0.376	0.223	0.599	287.162	13.884	8.17
"4"	4	2	"NO"	"PRE"	0.366	0.379	0.745	288.497	15.974	7.61
"5"	5	2	"LO"	"PRE"	0.347	0.178	0.525	194.016	7.566	7.48
"6"	6	2	"HI"	"PRE"	0.389	0.446	0.835	519.84	24.175	8.98
"7"	7	3	"LO"	"PRE"	0.353	0.179	0.532	221.139	7.869	8.29
"8"	8	3	"NO"	"PRE"	0.41	0.203	0.613	234.002	9.389	9.85
"9"	9	3	"HI"	"PRE"	0.39	0.261	0.651	368.839	20.802	9.73
"10"	10	4	"HI"	"PRE"	0.394	0.503	0.897	514.088	29.601	8.23
"11"	11	4	"LO"	"PRE"	0.369	0.293	0.662	255.482	12.21	7.98
"12"	12	4	"NO"	"PRE"	0.367	0.247	0.614	292.771	11.097	6.93
"13"	1	1	"NO"	"24H"	0.367	0.279	0.646	173.787	10.746	3.96
"14"	2	1	"LO"	"24H"	0.362	0.258	0.62	309.441	14.707	7.87
"15"	3	1	"HI"	"24H"	0.363	0.387	0.75	377.672	24.383	8.4
"16"	4	2	"NO"	"24H"	0.357	0.417	0.774	338.523	25.21	7.53
"17"	5	2	"LO"	"24H"	0.364	0.411	0.775	419.512	20.183	6.59
"18"	6	2	"HI"	"24H"	0.39	0.547	0.937	300.703	14.794	8.11
"19"	7	3	"LO"	"24H"	0.507	0.388	0.895	422.999	15.203	4.72
"20"	8	3	"NO"	"24H"	0.35	0.312	0.662	308.389	15.355	6.54
"21"	9	3	"HI"	"24H"	0.356	0.365	0.721	301.768	11.511	5.01
"22"	10	4	"HI"	"24H"	0.351	0.261	0.612	461.11	21.266	7.04
"23"	11	4	"LO"	"24H"	0.366	0.41	0.776	292.49	16.971	9.19
"24"	12	4	"NO"	"24H"	0.391	0.281	0.672	283.758	13.124	8.22
"25"	1	1	"NO"	"1WK"	0.378	0.207	0.585	194.236	11.742	16.15
"26"	2	1	"LO"	"1WK"	0.389	0.375	0.764	202.072	9.981	19.44
"27"	3	1	"HI"	"1WK"	0.385	0.257	0.642	187.764	10.152	20.63
"28"	4	2	"NO"	"1WK"	0.38	0.449	0.829	185.433	13.727	20.25
"29"	5	2	"LO"	"1WK"	0.374	0.275	0.649	284.174	12.433	18.22
"30"	6	2	"HI"	"1WK"	0.392	0.147	0.539	164.73	7.261	22.09
"31"	7	3	"LO"	"1WK"	0.628	0.381	1.009	164.897	18.338	22.44
"32"	8	3	"NO"	"1WK"	0.42	0.319	0.739	172.009	6.021	22.82
"33"	9	3	"HI"	"1WK"	0.37	0.22	0.59	239.491	10.393	20.93
"34"	10	4	"HI"	"1WK"	0.397	2.826	3.223	201.879	54.024	20.08
"35"	11	4	"LO"	"1WK"	0.37	0.129	0.499	196.01	3.986	20
"36"	12	4	"NO"	"1WK"	0.372	0.275	0.647	226.106	10.88	22.08
"37"	1	1	"NO"	"4WK"	0.389	0.203	0.592	184.27	10.298	16.64
"38"	2	1	"LO"	"4WK"	0.396	0.203	0.599	177.294	8.591	20.65
"39"	3	1	"HI"	"4WK"	0.385	0.228	0.613	252.526	11.701	21.55
"40"	4	2	"NO"	"4WK"	0.365	0.217	0.582	238.783	8.789	24.37
"41"	5	2	"LO"	"4WK"	0.366	0.154	0.52	401.813	19.411	23.26
"42"	6	2	"HI"	"4WK"	0.676	0.449	1.125	309.699	25.215	26.09
"43"	7	3	"LO"	"4WK"	0.469	0.45	0.919	156.067	16.124	6.88
"44"	8	3	"NO"	"4WK"	0.374	0.289	0.663	251.106	10.859	7
"45"	9	3	"HI"	"4WK"	0.365	0.286	0.651	210.846	9.766	6.08
"46"	10	4	"HI"	"4WK"	0.372	0.261	0.633	341.351	13.194	6.37
"47"	11	4	"LO"	"4WK"	0.367	0.333	0.7	374.591	21.477	6.16
