"Plot"	"Block"	"Treatment"	"GrazeTime"	"reading_rpm"	"biomass_kg_plot"
1	1	"NO"	"PRE"	21.2	231.0686454
1	1	"NO"	"24H"	24.1	490.9744198
1	1	"NO"	"1WK"	26.4	358.4016646
1	1	"NO"	"4WK"	27.5	515.110651
2	1	"LO"	"PRE"	24.4	440.8810564
2	1	"LO"	"24H"	25.1	841.7022865
2	1	"LO"	"1WK"	18.8	420.1079183
2	1	"LO"	"4WK"	18.5	272.1132447
3	1	"HI"	"PRE"	32.8	1110.824051
3	1	"HI"	"24H"	15.8	268.8987967
3	1	"HI"	"1WK"	18.5	162.2088512
3	1	"HI"	"4WK"	19.4	345.17226
4	2	"NO"	"PRE"	28.7	634.2310342
4	2	"NO"	"24H"	30.1	1039.883227
4	2	"NO"	"1WK"	30.6	1038.266712
4	2	"NO"	"4WK"	34.5	1149.676136
5	2	"LO"	"PRE"	28.4	740.4007221
5	2	"LO"	"24H"	27.5	888.0795251
5	2	"LO"	"1WK"	22.4	694.0420642
5	2	"LO"	"4WK"	24.6	337.5913652
6	2	"HI"	"PRE"	29.8	586.1815394
6	2	"HI"	"24H"	14.9	247.1223049
6	2	"HI"	"1WK"	16.4	94.92841019
6	2	"HI"	"4WK"	14.4	298.0332158
7	3	"LO"	"PRE"	33.3	652.4400461
7	3	"LO"	"24H"	32.1	858.2390422
7	3	"LO"	"1WK"	21.5	283.1129744
7	3	"LO"	"4WK"	24.2	367.580493
8	3	"NO"	"PRE"	33.9	717.8066828
8	3	"NO"	"24H"	34.2	948.6895219
8	3	"NO"	"1WK"	32.9	929.8301882
8	3	"NO"	"4WK"	34.1	652.1799174
9	3	"HI"	"PRE"	28.6	640.9943815
9	3	"HI"	"24H"	15.1	130.8819185
9	3	"HI"	"1WK"	14.9	368.769653
9	3	"HI"	"4WK"	18.7	292.1431579
10	4	"HI"	"PRE"	22.8	466.9682531
10	4	"HI"	"24H"	10.7	86.62287107
10	4	"HI"	"1WK"	11.9	266.6877024
10	4	"HI"	"4WK"	15.1	172.4746462
11	4	"LO"	"PRE"	20.4	313.2321666
11	4	"LO"	"24H"	16.8	294.2799297
11	4	"LO"	"1WK"	12.4	122.7250243
11	4	"LO"	"4WK"	13.9	125.0290218
12	4	"NO"	"PRE"	29.4	416.1688259
12	4	"NO"	"24H"	23.9	427.4286843
12	4	"NO"	"1WK"	23.3	316.9390011
