"meanBWDY"	"medianBWDY"	"sdBWDY"	"quant2.5BWDY"	"quant25BWDY"	"quant50BWDY"	"quant75BWDY"	"quant97.5BWDY"	"GrazeTime"	"Plot"	"Sample"	"Year"	"Treatment"	"Block"
-0.564324930787826	-0.554770318021201	0.126148111788272	-0.804915514592934	-0.628883291351805	-0.554770318021201	-0.490683229813665	-0.336402964088146	"1WK"	"1"	"1"	"2017"	"NO"	1
-0.478139741980155	-0.500721500721501	0.185103995551228	-0.745712437124513	-0.584821428571429	-0.500721500721501	-0.40724946695096	-0.0714285714285714	"1WK"	"1"	"1"	"2018"	"NO"	1
-0.555645914220692	-0.556728232189974	0.156630854997032	-0.7946645109135	-0.65938864628821	-0.556728232189974	-0.469387755102041	-0.253918495297806	"1WK"	"1"	"2"	"2017"	"NO"	1
-0.499103123103078	-0.518386714116251	0.149735577399094	-0.720797970929665	-0.569016881827209	-0.518386714116251	-0.455938697318008	-0.166666666666667	"1WK"	"1"	"2"	"2018"	"NO"	1
-0.571131761693022	-0.572535991140642	0.0748794464723414	-0.710182767624021	-0.618798955613577	-0.572535991140642	-0.526908635794743	-0.424330096214372	"1WK"	"1"	"3"	"2017"	"NO"	1
-0.481537705384967	-0.507656065959953	0.178229632280796	-0.721698113207547	-0.570338058887677	-0.507656065959953	-0.43312101910828	-0.0596026490066225	"1WK"	"1"	"3"	"2018"	"NO"	1
-0.609048386575388	-0.604395604395604	0.113091155651042	-0.809345794392523	-0.682600382409178	-0.604395604395604	-0.538461538461539	-0.400778210116732	"1WK"	"1"	"4"	"2017"	"NO"	1
-0.498673490547563	-0.529235382308845	0.189712748944333	-0.737545565006075	-0.601334445371143	-0.529235382308845	-0.440922190201729	-0.0714285714285714	"1WK"	"1"	"4"	"2018"	"NO"	1
-0.556546320851208	-0.550925925925926	0.143701764417148	-0.796407185628742	-0.636904761904762	-0.550925925925926	-0.484098939929329	-0.292134831460674	"1WK"	"1"	"5"	"2017"	"NO"	1
-0.495781335434639	-0.521997621878716	0.19499093306938	-0.749333681462141	-0.601941747572815	-0.521997621878716	-0.436170212765957	-0.0526315789473684	"1WK"	"1"	"5"	"2018"	"NO"	1
-0.546993451940271	-0.601731601731602	0.249495422213378	-0.764383561643836	-0.684737281067556	-0.601731601731602	-0.495063469675599	0.0816326530612246	"1WK"	"10"	"1"	"2017"	"HI"	4
