"sample_type"	"Plot"	"Block"	"Treatment"	"GrazeTime"	"AG"	"BG"	"BX"	"CBH"	"LAP"	"NAG"	"PER1"	"PEROX"	"PHENOX"	"PHOS"	"DON_mgkgdrysoil"	"MBC_mgkgdrysoil"	"MBN_mgkgdrysoil"	"minN_mgkgdrysoil"	"NH4_mgkgdrysoil"	"NO3_mgkgdrysoil"	"NPOC_mgkgdrysoil"	"Gravmois"	"biomass_kg_plot"
"bulk"	1	1	"NO"	"1WK"	56.4364538946	596.50337444	100.882149312	57.1093610486	716.47244532	80.06081318	2.0154817964	4.969285351	3.4630169914	306.66758	8.9894496738	780.86105624	28.369925284	4.700012601	4.700012601	1e-05	274.04019626	7.46	1459.65705882353
"rhizospheric"	1	1	"NO"	"1WK"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	2	1	"LO"	"1WK"	30.0192260674	443.41441908	63.900483972	37.258892468	503.88948526	61.149422746	2.8071617322	8.0468868976	5.722833486	176.251823486	9.6296173752	408.79529825	17.941307425	2.6249131294	2.6119732576	0.0129498718	243.00786434	8.422	1121.92805504587
"rhizospheric"	2	1	"LO"	"1WK"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	3	1	"HI"	"1WK"	71.55598136	601.27218814	123.465766116	59.29422135	610.37802912	55.21443433	3.437622591	4.5676629906	1.868165637	189.75283568	10.227192466	674.3697673	33.07021887	2.9691090998	2.9691090998	1e-05	212.11933904	9.434	2100.47733333334
"rhizospheric"	3	1	"HI"	"1WK"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	4	2	"NO"	"1WK"	47.350325972	452.8351568	77.438021086	42.290347872	616.55818158	46.310220644	2.7322818878	4.2913544812	2.0414877792	53.4513732262	7.2413166276	447.3660142	18.11402541	5.0246691704	5.0246691704	1e-05	192.51361436	7.984	2058.04806722689
"rhizospheric"	4	2	"NO"	"1WK"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	5	2	"LO"	"1WK"	39.086967126	410.96623794	66.171178676	42.830516986	566.20431474	35.589403852	0.7171121852	3.187825652	3.1729846422	1.939089275	5.8408107744	688.57790684	22.74332143	3.7651418472	3.7651418472	1e-05	159.77095452	7.5	1544.12747887324
"rhizospheric"	5	2	"LO"	"1WK"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	6	2	"HI"	"1WK"	44.1431349	613.21464146	89.820669756	100.255387252	588.88254578	66.675974652	0.3531220448	2.6726393802	3.3282283214	28.775417218	5.3233176722	649.46770722	27.375640698	5.803953666	5.803953666	1e-05	192.475367348	11.434	1742.56587931035
"rhizospheric"	6	2	"HI"	"1WK"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	7	3	"LO"	"1WK"	38.68780343	420.15988896	63.339183914	42.101860586	551.92511046	51.808371314	2.4343489656	5.6521983766	3.8887326338	56.493335034	8.6042991642	325.107072	19.5541287104	5.0598336056	5.0598336056	1e-05	210.80870444	5.854	1285.80442622951
"rhizospheric"	7	3	"LO"	"1WK"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	8	3	"NO"	"1WK"	14.7499001068	405.17305306	53.436910794	42.9448683034	466.19605916	23.657464365	1.300015852	3.6043314118	3.8374767346	33.901729272	9.2580019308	203.683465926	20.0675321304	2.831777326	2.831777326	1e-05	681.70240238	8.622	1907.83265306122
"rhizospheric"	8	3	"NO"	"1WK"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	9	3	"HI"	"1WK"	15.571719866	402.54130354	48.44596535	29.3623548362	553.91017198	21.0600736626	1.3679125802	5.8010382044	4.766656522	77.195573732	7.2941906186	224.57102088	19.4103641598	5.8211063386	5.8211063386	1e-05	285.37721026	7.764	1404.7873381295
"rhizospheric"	9	3	"HI"	"1WK"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
