"GrazeTime"	"Plot"	"Sample"	"Block"	"Treatment"	"NPOC_t0Nmin_ppm"	"DON_t0Nmin_ppm"	"NPOC_t0Nmin_mgg"	"DON_t0Nmin_mgg"	"NPOC_mbc_ppm"	"DON_mbc_ppm"	"DOC_mbc_mgg"	"DON_mbc_mgg"	"chl_labile_C_mgg"	"chl_labile_N_mgg"	"mbc_mgg"	"mbn_mgg"	"NO3_ppm"	"NH4_ppm"	"NO3_mgkg"	"NH4_mgkg"	"minN_ppm"	"minN_mgkg"
"1"	"1WK"	1	1	1	"NO"	41.21	3.711	211.5320961	19.04866801	119.41	6.524	522.7974222	28.56318887	311.2653262	9.514520861	691.7007248	17.61948308	0.11506	0.05087107	0.590606236	0.261122642	0.16593107	0.851728878
"2"	"1WK"	1	2	1	"NO"	35.8	2.478	178.6592929	12.36641698	120.51	5.613	491.6378195	22.8990381	312.9785267	10.53262112	695.507837	19.50485393	0.10414	0.02803507	0.519708904	0.139908541	0.13217507	0.659617445
"3"	"1WK"	1	3	1	"NO"	35.01	2.307	176.6506526	11.64047574	116.91	5.756	492.6596523	24.25582892	316.0089996	12.61535318	702.2422214	23.36176514	0.11038	0.02682407	0.556946559	0.135346743	0.13720407	0.692293302
"4"	"1WK"	1	4	1	"NO"	99.35	1.992	501.1461495	10.04814423	137.21	5.585	574.5305821	23.38571023	73.38443268	13.337566	163.0765171	24.69919629	0.10466	0.02578607	0.527931112	0.130071361	0.13044607	0.658002473
"5"	"1WK"	1	5	1	"NO"	58.4	2.965	302.2127402	15.34350642	129.41	5.369	557.0192055	23.10977602	254.8064653	7.7662696	566.2365895	14.38198074	0.0979	0.04741107	0.50662033	0.245346394	0.14531107	0.751966724
"6"	"1WK"	10	1	4	"HI"	34.36	1.71	175.2696253	8.722673438	59.7	3.704	252.2762639	15.65211527	77.00663857	6.92944183	171.1258635	12.83229969	0.10076	0.03080307	0.513974606	0.157125801	0.13156307	0.671100407
"7"	"1WK"	10	2	4	"HI"	47.05	1.894	233.4107812	9.395962158	72.39	3.514	300.4205404	14.58319905	67.00975927	5.18723689	148.9105762	9.605994241	0.10076	0.03114907	0.499861218	0.15452771	0.13190907	0.654388928
"8"	"1WK"	10	3	4	"HI"	80.82	2.317	426.5245488	12.22788146	64.52	3.132	276.493842	13.42186474	0	1.193983282	0	2.211080152	0.11428	0.03426307	0.603108456	0.18082208	0.14854307	0.783930536
"9"	"1WK"	10	4	4	"HI"	89.64	3.042	450.5077249	15.28831436	69.86	3.739	293.0791351	15.68598463	0	0.39767027	0	0.736426426	0.12572	0.03253307	0.631836582	0.163502893	0.15825307	0.795339475
"10"	"1WK"	10	5	4	"HI"	109.95	2.776	569.4229998	14.37670075	54.16	2.978	238.0451279	13.08896586	0	0	0	0	0.09972	0.03357107	0.516442579	0.173862114	0.13329107	0.690304693
"11"	"1WK"	11	1	4	"LO"	61.3	2.095	311.6725029	10.65177641	47.02	3.894	200.1410402	16.57484497	0	5.923068567	0	10.96864549	0.11116	0.03841507	0.565179697	0.195316819	0.14957507	0.760496516
"12"	"1WK"	11	2	4	"LO"	44.24	1.805	224.1275001	9.144442532	76.4	3.729	326.228278	15.92284357	102.1007779	6.778401035	226.8906176	12.55259451	0.11506	0.03374407	0.582913882	0.170953301	0.14880407	0.753867183
"13"	"1WK"	11	3	4	"LO"	65.94	2.184	329.2487826	10.90505522	49.13	3.401	207.6618869	14.37529162	0	3.4702364	0	6.426363704	0.10804	0.03322507	0.539460699	0.165897996	0.14126507	0.705358695
"14"	"1WK"	11	4	4	"LO"	26.18	1.68	135.6987699	8.707942455	48.7	3.236	210.0299266	13.95599266	74.33115663	5.248050201	165.1803481	9.718611483	0.11532	0.02768907	0.59773805	0.143520731	0.14300907	0.741258781
"15"	"1WK"	11	5	4	"LO"	26.57	1.38	136.6016529	7.094854382	40.57	2.998	174.4651408	12.89244496	37.86348791	5.797590577	84.14108424	10.73627885	0.11116	0.03305207	0.571495662	0.169927264	0.14421207	0.741422926
"16"	"1WK"	12	1	4	"NO"	49	2.052	247.9617218	10.38402966	57.41	3.896	253.8862368	17.22941611	5.924515007	6.84538645	13.1655889	12.67664157	0.10752	0.03374407	0.544098864	0.170759953	0.14126407	0.714858817
