"GrazeTime"	"Plot"	"Sample"	"Block"	"Treatment"	"chl_labile_C_mgg"	"chl_labile_N_mgg"	"mbc_mgg"	"mbn_mgg"
"1"	"1WK"	1	1	1	"NO"	311.2653262	9.514520861	691.7007248	17.61948308
"2"	"1WK"	1	2	1	"NO"	312.9785267	10.53262112	695.507837	19.50485393
"3"	"1WK"	1	3	1	"NO"	316.0089996	12.61535318	702.2422214	23.36176514
"4"	"1WK"	1	4	1	"NO"	73.38443268	13.337566	163.0765171	24.69919629
"5"	"1WK"	1	5	1	"NO"	254.8064653	7.7662696	566.2365895	14.38198074
"6"	"1WK"	10	1	4	"HI"	77.00663857	6.92944183	171.1258635	12.83229969
"7"	"1WK"	10	2	4	"HI"	67.00975927	5.18723689	148.9105762	9.605994241
"8"	"1WK"	10	3	4	"HI"	0	1.193983282	0	2.211080152
"9"	"1WK"	10	4	4	"HI"	0	0.39767027	0	0.736426426
"10"	"1WK"	10	5	4	"HI"	0	0	0	0
"11"	"1WK"	11	1	4	"LO"	0	5.923068567	0	10.96864549
"12"	"1WK"	11	2	4	"LO"	102.1007779	6.778401035	226.8906176	12.55259451
"13"	"1WK"	11	3	4	"LO"	0	3.4702364	0	6.426363704
"14"	"1WK"	11	4	4	"LO"	74.33115663	5.248050201	165.1803481	9.718611483
"15"	"1WK"	11	5	4	"LO"	37.86348791	5.797590577	84.14108424	10.73627885
"16"	"1WK"	12	1	4	"NO"	5.924515007	6.84538645	13.1655889	12.67664157
"17"	"1WK"	12	2	4	"NO"	0	0	0	0
"18"	"1WK"	12	3	4	"NO"	0	3.873395453	0	7.172954543
"19"	"1WK"	12	4	4	"NO"	0	4.663470536	0	8.636056549
"20"	"1WK"	12	5	4	"NO"	0	6.377128877	0	11.80949792
"21"	"1WK"	2	1	1	"LO"	NA	NA	NA	NA
"22"	"1WK"	2	2	1	"LO"	66.92060407	6.309855402	148.7124535	11.68491741
"23"	"1WK"	2	3	1	"LO"	NA	NA	NA	NA
"24"	"1WK"	2	4	1	"LO"	NA	NA	NA	NA
"25"	"1WK"	2	5	1	"LO"	143.836697	5.898231052	319.6371044	10.9226501
"26"	"1WK"	3	1	1	"HI"	NA	NA	NA	NA
"27"	"1WK"	3	2	1	"HI"	NA	NA	NA	NA
"28"	"1WK"	3	3	1	"HI"	NA	NA	NA	NA
"29"	"1WK"	3	4	1	"HI"	NA	NA	NA	NA
"30"	"1WK"	3	5	1	"HI"	210.5238154	12.63299162	467.8307009	23.39442892
"31"	"1WK"	4	1	2	"NO"	191.293976	10.5847458	425.0977244	19.6013811
"32"	"1WK"	4	2	2	"NO"	116.9791132	5.383124402	259.9535848	9.968748892
"33"	"1WK"	4	3	2	"NO"	168.8799123	8.165084586	375.2886939	15.12052701
"34"	"1WK"	4	4	2	"NO"	129.3036283	3.566886141	287.3413962	6.605344706
"35"	"1WK"	4	5	2	"NO"	93.41740018	4.056390751	207.5942226	7.511834723
"36"	"1WK"	5	1	2	"LO"	239.5205655	7.844631417	532.2679233	14.52709522
"37"	"1WK"	5	2	2	"LO"	251.588154	9.793406832	559.0847866	18.13593858
"38"	"1WK"	5	3	2	"LO"	259.3791208	8.98260072	576.3980462	16.63444578
"39"	"1WK"	5	4	2	"LO"	254.2070413	11.07934077	564.9045362	20.51729772
"40"	"1WK"	5	5	2	"LO"	181.2800687	6.711961605	402.8445972	12.42955853
"41"	"1WK"	6	1	2	"HI"	294.9250508	10.31254323	655.3890018	19.09730229
"42"	"1WK"	6	2	2	"HI"	229.8889964	9.072016028	510.8644364	16.80002968
"43"	"1WK"	6	3	2	"HI"	234.5581651	11.54133462	521.2403669	21.37284189
"44"	"1WK"	6	4	2	"HI"	237.4388154	12.86434669	527.641812	23.82286424
"45"	"1WK"	6	5	2	"HI"	83.99745762	10.27130682	186.6610169	19.02093856
"46"	"1WK"	7	1	3	"LO"	131.58244	10.58110107	292.4054223	19.59463161
"47"	"1WK"	7	2	3	"LO"	22.1814868	1.098756641	49.2921929	2.03473452
"48"	"1WK"	7	3	3	"LO"	116.0053219	7.823829185	257.7896043	14.48857256
"49"	"1WK"	7	4	3	"LO"	91.39697359	6.759387178	203.1043858	12.51738366
"50"	"1WK"	7	5	3	"LO"	81.60080989	6.730172278	181.3351331	12.463282
"51"	"1WK"	8	1	3	"NO"	109.8241527	10.62483559	244.0536726	19.67562146
"52"	"1WK"	8	2	3	"NO"	57.2546257	6.391653515	127.2325015	11.8363954
"53"	"1WK"	8	3	3	"NO"	0	1.622576455	0	3.004771212
"54"	"1WK"	8	4	3	"NO"	0	7.204854432	0	13.34232302
"55"	"1WK"	8	5	3	"NO"	99.20565869	10.07585479	220.4570193	18.65899034
"56"	"1WK"	9	1	3	"HI"	92.69732737	11.10548244	205.9940608	20.56570823
"57"	"1WK"	9	2	3	"HI"	0	5.679427807	0	10.5174589
"58"	"1WK"	9	3	3	"HI"	45.06445732	8.332203426	100.1432385	15.43000634
"59"	"1WK"	9	4	3	"HI"	66.93679067	1.569715051	148.7484237	2.906879724
"60"	"1WK"	9	5	3	"HI"	31.76047249	6.685979258	70.57882775	12.38144307
"61"	"24H"	1	1	1	"NO"	42.68167001	8.020468527	94.84815558	14.8527195
"62"	"24H"	1	2	1	"NO"	90.38193294	12.44617955	200.8487399	23.04848064
"63"	"24H"	1	3	1	"NO"	0	7.417654115	0	13.73639651
"64"	"24H"	1	4	1	"NO"	0	6.189051092	0	11.46120573
"65"	"24H"	1	5	1	"NO"	76.31405914	9.526450842	169.5867981	17.64157563
"66"	"24H"	10	1	4	"HI"	23.89817792	5.580339959	53.10706206	10.33396289
"67"	"24H"	10	2	4	"HI"	50.61888395	7.821413426	112.4864088	14.48409894
"68"	"24H"	10	3	4	"HI"	44.15643289	8.472869203	98.12540643	15.69049852
"69"	"24H"	10	4	4	"HI"	32.06435298	11.94877395	71.25411774	22.12735916
"70"	"24H"	10	5	4	"HI"	0	7.446408013	0	13.78964447
"71"	"24H"	11	1	4	"LO"	0	10.68053731	0	19.7787728
"72"	"24H"	11	2	4	"LO"	0	13.3729585	0	24.76473796
"73"	"24H"	11	3	4	"LO"	0	11.35894357	0	21.03508069
"74"	"24H"	11	4	4	"LO"	75.53404828	14.99570272	167.8534406	27.76981984
"75"	"24H"	11	5	4	"LO"	80.34022746	13.58041247	178.5338388	25.14891197
"76"	"24H"	12	1	4	"NO"	0	3.082029886	0	5.707462752
"77"	"24H"	12	2	4	"NO"	53.40969565	17.20360158	118.6882126	31.85852144
"78"	"24H"	12	3	4	"NO"	0	11.63186366	0	21.54048826
"79"	"24H"	12	4	4	"NO"	0	5.126894711	0	9.494249465
"80"	"24H"	12	5	4	"NO"	111.6896691	16.57104649	248.1992648	30.68712313
"81"	"24H"	2	1	1	"LO"	85.12265838	12.34192373	189.1614631	22.85541431
"82"	"24H"	2	2	1	"LO"	108.2575446	13.78159095	240.5723214	25.52146473
"83"	"24H"	2	3	1	"LO"	120.3154427	14.23358724	267.3676505	26.35849489
"84"	"24H"	2	4	1	"LO"	0	10.33461311	0	19.13817243
"85"	"24H"	2	5	1	"LO"	127.0365958	13.36195044	282.3035462	24.74435266
"86"	"24H"	3	1	1	"HI"	58.43738985	6.800402416	129.8608663	12.59333781
"87"	"24H"	3	2	1	"HI"	37.27698011	10.07851907	82.83773357	18.66392421
"88"	"24H"	3	3	1	"HI"	181.9013334	25.6727411	404.2251854	47.54211315
"89"	"24H"	3	4	1	"HI"	166.7508659	22.63195978	370.5574797	41.91103664
"90"	"24H"	3	5	1	"HI"	132.3795485	24.21807384	294.1767744	44.8482849
"91"	"24H"	4	1	2	"NO"	0	13.14864857	0	24.3493492
"92"	"24H"	4	2	2	"NO"	26.39164442	10.96409317	58.64809871	20.30387624
"93"	"24H"	4	3	2	"NO"	84.30317002	12.35241494	187.3403778	22.87484248
"94"	"24H"	4	4	2	"NO"	34.73811968	13.07670225	77.19582151	24.21611527
"95"	"24H"	4	5	2	"NO"	99.95855962	10.27845275	222.1301325	19.03417176
"96"	"24H"	5	1	2	"LO"	8.050866235	12.50659146	17.89081386	23.16035456
"97"	"24H"	5	2	2	"LO"	0	5.403639321	0	10.00673948
"98"	"24H"	5	3	2	"LO"	0	6.620722128	0	12.26059653
"99"	"24H"	5	4	2	"LO"	77.88318647	11.66208233	173.0737477	21.59644875
"100"	"24H"	5	5	2	"LO"	92.0889837	14.99128278	204.642186	27.76163478
"101"	"24H"	6	1	2	"HI"	118.5115152	5.149713546	263.3589226	9.536506566
"102"	"24H"	6	2	2	"HI"	0	6.356707794	0	11.7716811
"103"	"24H"	6	3	2	"HI"	120.9631333	14.4366331	268.8069629	26.73450574
"104"	"24H"	6	4	2	"HI"	55.54887307	13.92187818	123.4419402	25.78125589
"105"	"24H"	6	5	2	"HI"	0	8.227635136	0	15.23636136
"106"	"24H"	7	1	3	"LO"	153.7150154	20.68175763	341.588923	38.29955116
"107"	"24H"	7	2	3	"LO"	106.0549123	8.960565298	235.6775828	16.59363944
"108"	"24H"	7	3	3	"LO"	92.02045367	7.851087533	204.489897	14.53905099
"109"	"24H"	7	4	3	"LO"	149.6952246	14.59332291	332.6560547	27.02467206
"110"	"24H"	7	5	3	"LO"	191.221542	17.92217479	424.9367599	33.18921258
"111"	"24H"	8	1	3	"NO"	90.07729943	11.46219492	200.1717765	21.22628689
"112"	"24H"	8	2	3	"NO"	136.5457313	19.46436313	303.4349585	36.0451169
"113"	"24H"	8	3	3	"NO"	105.0321233	13.81191393	233.4047183	25.57761839
"114"	"24H"	8	4	3	"NO"	62.56577893	7.588668885	139.0350643	14.05309053
"115"	"24H"	8	5	3	"NO"	53.78549534	11.76964058	119.523323	21.7956307
"116"	"24H"	9	1	3	"HI"	177.0139495	26.38591405	393.3643322	48.8628038
"117"	"24H"	9	2	3	"HI"	90.13605335	12.35094559	200.3023408	22.87212145
"118"	"24H"	9	3	3	"HI"	0	11.84722086	0	21.93929789
"119"	"24H"	9	4	3	"HI"	42.35896291	9.993141633	94.13102868	18.50581784
"120"	"24H"	9	5	3	"HI"	130.2878823	13.79627259	289.5286274	25.54865294
"121"	"4WK"	1	1	1	"NO"	44.09414701	9.393409063	97.98699336	17.39520197
"122"	"4WK"	1	2	1	"NO"	0	6.432513314	0	11.91206169
"123"	"4WK"	1	3	1	"NO"	68.16916179	10.92356459	151.4870262	20.22882331
"124"	"4WK"	1	4	1	"NO"	72.96746356	17.08403972	162.149919	31.6371106
"125"	"4WK"	1	5	1	"NO"	206.6981541	23.53193349	459.3292313	43.57765461
"126"	"4WK"	10	1	4	"HI"	96.19176406	23.78843213	213.7594757	44.0526521
"127"	"4WK"	10	2	4	"HI"	149.19325	27.80715175	331.5405556	51.49472547
"128"	"4WK"	10	3	4	"HI"	113.1189659	23.70101919	251.3754798	43.89077627
"129"	"4WK"	10	4	4	"HI"	0	13.96890675	0	25.86834583
"130"	"4WK"	10	5	4	"HI"	0	19.37860948	0	35.88631385
"131"	"4WK"	11	1	4	"LO"	35.36225949	17.31845882	78.58279887	32.07122003
"132"	"4WK"	11	2	4	"LO"	33.24292527	14.73556711	73.87316727	27.28808723
"133"	"4WK"	11	3	4	"LO"	0	16.95904848	0	31.40564534
"134"	"4WK"	11	4	4	"LO"	32.44626289	17.73839062	72.10280641	32.84887152
"135"	"4WK"	11	5	4	"LO"	68.79183049	16.36656361	152.8707344	30.30845113
"136"	"4WK"	12	1	4	"NO"	78.52796277	21.88104784	174.5065839	40.52045896
"137"	"4WK"	12	2	4	"NO"	95.01685606	23.70861361	211.148569	43.90484001
"138"	"4WK"	12	3	4	"NO"	18.66420177	3.990088711	41.47600394	7.389053169
"139"	"4WK"	12	4	4	"NO"	79.93925484	17.03615113	177.6427885	31.54842802
"140"	"4WK"	12	5	4	"NO"	44.33830324	15.64353858	98.52956275	28.96951588
"141"	"4WK"	2	1	1	"LO"	180.1128782	20.62884858	400.2508404	38.20157145
"142"	"4WK"	2	2	1	"LO"	150.2609648	11.3393353	333.913255	20.99876907
"143"	"4WK"	2	3	1	"LO"	215.7118972	17.92656143	479.3597716	33.19733599
"144"	"4WK"	2	4	1	"LO"	149.2395236	12.33750864	331.6433857	22.84723823
"145"	"4WK"	2	5	1	"LO"	154.5314672	15.47498311	343.4032604	28.65737613
"146"	"4WK"	3	1	1	"HI"	114.4617616	12.91935726	254.3594703	23.92473566
"147"	"4WK"	3	2	1	"HI"	151.4644691	12.13953333	336.5877092	22.48061728
"148"	"4WK"	3	3	1	"HI"	177.2331248	16.25797645	393.8513884	30.10736379
"149"	"4WK"	3	4	1	"HI"	10.95389908	16.76055068	24.34199795	31.03805681
"150"	"4WK"	3	5	1	"HI"	243.3628623	24.17696081	540.8063606	44.77214964
"151"	"4WK"	4	1	2	"NO"	122.1846463	13.91893495	271.5214362	25.77580547
"152"	"4WK"	4	2	2	"NO"	165.5281596	14.12200038	367.8403547	26.15185255
"153"	"4WK"	4	3	2	"NO"	0	14.65238023	0	27.13403746
"154"	"4WK"	4	4	2	"NO"	120.930316	15.46325664	268.7340355	28.63566045
"155"	"4WK"	4	5	2	"NO"	0	11.38161646	0	21.07706752
"156"	"4WK"	5	1	2	"LO"	115.6178142	18.83273226	256.928476	34.87543011
"157"	"4WK"	5	2	2	"LO"	72.36478582	13.23789657	160.8106352	24.51462327
