"GrazeTime"	"Block"	"Treatment"	"Plot"	"Sample"	"SampDate"	"NO3_t0Nmin_ppm"	"NH4_t0Nmin_ppm"	"NPOC_t0Nmin_ppm"	"DON_t0Nmin_ppm"	"NO3_t0Nmin_mgg"	"NH4_t0Nmin_mgg"	"NPOC_t0Nmin_mgg"	"DON_t0Nmin_mgg"	"NPOC_mbc_ppm"	"DON_mbc_ppm"	"DOC_mbc_mgg"	"DON_mbc_mgg"	"chl_labile_C_mgg"	"chl_labile_N_mgg"	"mbc_mgg"	"mbn_mgg"	"minN_mgg"
"PRE"	1	"NO"	1	1	2017-07-03	0	0.22	77.37	3.456	0	1.142474526	401.7875184	17.94723618	47.44	2.847	389.653431	23.38413402	0	5.43689784	0	10.06832933	1.132088394
"24H"	1	"NO"	1	1	2017-07-11	0.047	0.188	34.71	2.79	0.231906233	0.927624931	171.2652201	13.76634872	49.65	5.056	213.9468901	21.78681724	42.68167001	8.020468527	94.84815558	14.8527195	1.159531164
"1WK"	1	"NO"	1	1	2017-07-17	0.071	0.254	41.21	3.711	0.364445009	1.303789187	211.5320961	19.04866801	119.41	6.524	522.7974222	28.56318887	311.2653262	9.514520861	691.7007248	17.61948308	1.668234196
"4WK"	1	"NO"	1	1	2017-08-07	0.038	0.092	29.94	1.861	0.194048961	0.469802747	152.8901549	9.503292528	47.42	4.549	196.9843019	18.89670159	44.09414701	9.393409063	97.98699336	17.39520197	0.663851708
"PRE"	1	"NO"	1	2	2017-07-03	0.006	0.229	49.13	3.057	0.031398013	1.19835751	257.0973994	15.99728781	75.14	6.956	326.0120167	30.18019148	68.91461724	14.18290367	153.1435939	26.26463643	1.229755523
"24H"	1	"NO"	1	2	2017-07-11	0.013	0.101	35.37	2.647	0.067412322	0.523741888	183.4133722	13.72618593	63.96	6.114	273.7953052	26.17236547	90.38193294	12.44617955	200.8487399	23.04848064	0.59115421
"1WK"	1	"NO"	1	2	2017-07-17	0.029	0.121	35.8	2.478	0.144724008	0.603848448	178.6592929	12.36641698	120.51	5.613	491.6378195	22.8990381	312.9785267	10.53262112	695.507837	19.50485393	0.748572456
"4WK"	1	"NO"	1	2	2017-08-07	0.112	0.065	69.16	1.654	0.583791761	0.338807719	360.4914127	8.621353333	46.46	3.66	191.0936187	15.05386665	0	6.432513314	0	11.91206169	0.92259948
"PRE"	1	"NO"	1	3	2017-07-03	0.007	0.171	60.33	2.736	0.034518046	0.843226551	297.4962446	13.49162482	69.04	5.163	286.9633252	21.4599022	0	7.968277382	0	14.75606923	0.877744597
"24H"	1	"NO"	1	3	2017-07-11	0.024	0.066	64.35	2.03	0.12111904	0.333077361	324.7504268	10.24465216	49.31	4.175	208.6055862	17.66230627	0	7.417654115	0	13.73639651	0.454196401
"1WK"	1	"NO"	1	3	2017-07-17	0.053	0.115	35.01	2.307	0.267423153	0.580257785	176.6506526	11.64047574	116.91	5.756	492.6596523	24.25582892	316.0089996	12.61535318	702.2422214	23.36176514	0.847680938
"4WK"	1	"NO"	1	3	2017-08-07	0.015	0.036	37.46	1.907	0.078759719	0.189023325	196.6892706	10.01298556	62.19	4.916	264.8584324	20.93655015	68.16916179	10.92356459	151.4870262	20.22882331	0.267783044
"PRE"	1	"NO"	1	4	2017-07-03	0.005	0.212	60.11	2.764	0.025983437	1.101697723	312.3728778	14.36364389	84.28	6.589	339.1875847	26.51764351	26.81470681	12.15399962	59.58823735	22.5074067	1.12768116
"24H"	1	"NO"	1	4	2017-07-11	0.022	0.1	42.21	2.543	0.111502651	0.506830231	213.9330404	12.88869277	48.18	4.641	198.0533719	19.07774386	0	6.189051092	0	11.46120573	0.618332882
"1WK"	1	"NO"	1	4	2017-07-17	0.031	0.108	99.35	1.992	0.156371723	0.544778904	501.1461495	10.04814423	137.21	5.585	574.5305821	23.38571023	73.38443268	13.337566	163.0765171	24.69919629	0.701150627
"4WK"	1	"NO"	1	4	2017-08-07	0.019	0.035	54.35	1.437	0.097277483	0.179195364	278.2648012	7.357249666	82.86	5.766	351.2322648	24.44128939	72.96746356	17.08403972	162.149919	31.6371106	0.276472847
"PRE"	1	"NO"	1	5	2017-07-03	0.007	0.219	60.23	3.151	0.035819192	1.120629014	308.198564	16.12375353	64.22	4.266	260.8757224	17.32942746	0	1.20567393	0	2.2327295	1.156448206
"24H"	1	"NO"	1	5	2017-07-11	0.01	0.07	39.84	2.613	0.051778071	0.362446495	206.283834	13.52960989	66.2	5.401	282.5978931	23.05606073	76.31405914	9.526450842	169.5867981	17.64157563	0.414224566
"1WK"	1	"NO"	1	5	2017-07-17	0.005	0.233	58.4	2.965	0.025874378	1.205746035	302.2127402	15.34350642	129.41	5.369	557.0192055	23.10977602	254.8064653	7.7662696	566.2365895	14.38198074	1.231620413
"4WK"	1	"NO"	1	5	2017-08-07	0.075	0.065	37.7	2.17	0.439680159	0.381056138	221.01256	12.7214126	89.05	7.548	427.7107141	36.25334609	206.6981541	23.53193349	459.3292313	43.57765461	0.820736297
"PRE"	4	"HI"	10	1	2017-07-05	0.008	0.223	47.46	2.504	0.041422569	1.154654112	245.7393908	12.96526411	89.69	6.861	369.2024572	28.24281479	123.4630664	15.27755069	274.3623698	28.29176053	1.196076681
"24H"	4	"HI"	10	1	2017-07-14	0.022	0.086	32.59	2.405	0.109730021	0.428944629	162.5500636	11.99548643	44.65	4.209	186.4482415	17.57582639	23.89817792	5.580339959	53.10706206	10.33396289	0.53867465
"1WK"	4	"HI"	10	1	2017-07-20	0.016	0.138	34.36	1.71	0.081615658	0.703935049	175.2696253	8.722673438	59.7	3.704	252.2762639	15.65211527	77.00663857	6.92944183	171.1258635	12.83229969	0.785550707
"4WK"	4	"HI"	10	1	2017-08-10	0.049	0.083	35.79	2.131	0.266994501	0.452255991	195.0149629	11.61153635	66.41	8.073	291.206727	35.39996849	96.19176406	23.78843213	213.7594757	44.0526521	0.719250492
