"Index"	"Med"	"LCI"	"HCI"	"ID"	"GrazeTime"	"Plot"	"Sample"	"Year"	"Treatment"	"Block"
"BNDVI"	0.482352941176471	0.0390143737166324	0.666666666666667	"1WK_1_1_2017"	"1WK"	"1"	"1"	"2017"	"NO"	"1"
"BWDR"	-0.554770318021201	-0.804859236405708	-0.333333333333333	"1WK_1_1_2017"	"1WK"	"1"	"1"	"2017"	"NO"	"1"
"CHIG"	1.77142857142857	0.0493827160493827	4.7	"1WK_1_1_2017"	"1WK"	"1"	"1"	"2017"	"NO"	"1"
"GNDVI"	0.46969696969697	0.0240963855421687	0.701492537313433	"1WK_1_1_2017"	"1WK"	"1"	"1"	"2017"	"NO"	"1"
"SRATG"	2.77142857142857	1.04938271604938	5.7	"1WK_1_1_2017"	"1WK"	"1"	"1"	"2017"	"NO"	"1"
"BNDVI"	0.53781512605042	0.186274509803922	0.794871794871795	"1WK_1_1_2018"	"1WK"	"1"	"1"	"2018"	"NO"	"1"
"BWDR"	-0.500682128240109	-0.74553101997897	-0.0666666666666667	"1WK_1_1_2018"	"1WK"	"1"	"1"	"2018"	"NO"	"1"
"CHIG"	2.57692307692308	0.331395348837209	7.66666666666667	"1WK_1_1_2018"	"1WK"	"1"	"1"	"2018"	"NO"	"1"
"GNDVI"	0.563025210084034	0.14214463840399	0.793103448275862	"1WK_1_1_2018"	"1WK"	"1"	"1"	"2018"	"NO"	"1"
"SRATG"	3.57692307692308	1.33139534883721	8.66666666666667	"1WK_1_1_2018"	"1WK"	"1"	"1"	"2018"	"NO"	"1"
"BNDVI"	0.48	0.0669456066945607	0.711864406779661	"1WK_1_2_2017"	"1WK"	"1"	"2"	"2017"	"NO"	"1"
"BWDR"	-0.55688622754491	-0.79476861167002	-0.254612546125461	"1WK_1_2_2017"	"1WK"	"1"	"2"	"2017"	"NO"	"1"
"CHIG"	1.66666666666667	0.0805084745762712	5.57894736842105	"1WK_1_2_2017"	"1WK"	"1"	"2"	"2017"	"NO"	"1"
"GNDVI"	0.454545454545455	0.0386965376782077	0.736111111111111	"1WK_1_2_2017"	"1WK"	"1"	"2"	"2017"	"NO"	"1"
"SRATG"	2.66666666666667	1.08050847457627	6.57894736842105	"1WK_1_2_2017"	"1WK"	"1"	"2"	"2017"	"NO"	"1"
"BNDVI"	0.520361990950226	0.237569060773481	0.754385964912281	"1WK_1_2_2018"	"1WK"	"1"	"2"	"2018"	"NO"	"1"
"BWDR"	-0.518624641833811	-0.72069825436409	-0.166666666666667	"1WK_1_2_2018"	"1WK"	"1"	"2"	"2018"	"NO"	"1"
"CHIG"	2.31666666666667	0.43859649122807	6.375	"1WK_1_2_2018"	"1WK"	"1"	"2"	"2018"	"NO"	"1"
"GNDVI"	0.536679536679537	0.179856115107914	0.761194029850746	"1WK_1_2_2018"	"1WK"	"1"	"2"	"2018"	"NO"	"1"
"SRATG"	3.31666666666667	1.43859649122807	7.375	"1WK_1_2_2018"	"1WK"	"1"	"2"	"2018"	"NO"	"1"
"BNDVI"	0.46218487394958	0.259052924791086	0.603603603603604	"1WK_1_3_2017"	"1WK"	"1"	"3"	"2017"	"NO"	"1"
"BWDR"	-0.572481572481572	-0.709511568123393	-0.423948220064725	"1WK_1_3_2017"	"1WK"	"1"	"3"	"2017"	"NO"	"1"
"CHIG"	1.46913580246914	0.552447552447553	3.05263157894737	"1WK_1_3_2017"	"1WK"	"1"	"3"	"2017"	"NO"	"1"
"GNDVI"	0.423487544483986	0.216438356164384	0.604166666666667	"1WK_1_3_2017"	"1WK"	"1"	"3"	"2017"	"NO"	"1"
"SRATG"	2.46913580246914	1.55244755244755	4.05263157894737	"1WK_1_3_2017"	"1WK"	"1"	"3"	"2017"	"NO"	"1"
"BNDVI"	0.53125	0.234866828087167	0.796610169491525	"1WK_1_3_2018"	"1WK"	"1"	"3"	"2018"	"NO"	"1"
"BWDR"	-0.507537688442211	-0.722070844686649	-0.0619469026548672	"1WK_1_3_2018"	"1WK"	"1"	"3"	"2018"	"NO"	"1"
"CHIG"	2.4	0.403508771929824	6.6	"1WK_1_3_2018"	"1WK"	"1"	"3"	"2018"	"NO"	"1"
"GNDVI"	0.545454545454545	0.167883211678832	0.767441860465116	"1WK_1_3_2018"	"1WK"	"1"	"3"	"2018"	"NO"	"1"
"SRATG"	3.4	1.40350877192982	7.6	"1WK_1_3_2018"	"1WK"	"1"	"3"	"2018"	"NO"	"1"
"BNDVI"	0.423076923076923	0.0261569416498994	0.621359223300971	"1WK_1_4_2017"	"1WK"	"1"	"4"	"2017"	"NO"	"1"
"BWDR"	-0.60427807486631	-0.809345794392523	-0.400359066427289	"1WK_1_4_2017"	"1WK"	"1"	"4"	"2017"	"NO"	"1"
"CHIG"	1.33333333333333	0.0323886639676114	3.72	"1WK_1_4_2017"	"1WK"	"1"	"4"	"2017"	"NO"	"1"
"GNDVI"	0.4	0.0159362549800797	0.65034965034965	"1WK_1_4_2017"	"1WK"	"1"	"4"	"2017"	"NO"	"1"
"SRATG"	2.33333333333333	1.03238866396761	4.72	"1WK_1_4_2017"	"1WK"	"1"	"4"	"2017"	"NO"	"1"
"BNDVI"	0.509727626459144	0.203836930455636	0.793103448275862	"1WK_1_4_2018"	"1WK"	"1"	"4"	"2018"	"NO"	"1"
"BWDR"	-0.529126213592233	-0.73731030873888	-0.0714285714285714	"1WK_1_4_2018"	"1WK"	"1"	"4"	"2018"	"NO"	"1"
"CHIG"	2.01639344262295	0.340425531914894	7.33333333333333	"1WK_1_4_2018"	"1WK"	"1"	"4"	"2018"	"NO"	"1"
"GNDVI"	0.502040816326531	0.145454545454545	0.785714285714286	"1WK_1_4_2018"	"1WK"	"1"	"4"	"2018"	"NO"	"1"
"SRATG"	3.01639344262295	1.34042553191489	8.33333333333333	"1WK_1_4_2018"	"1WK"	"1"	"4"	"2018"	"NO"	"1"
"BNDVI"	0.486486486486487	0.0618336886993603	0.692307692307692	"1WK_1_5_2017"	"1WK"	"1"	"5"	"2017"	"NO"	"1"
"BWDR"	-0.551020408163265	-0.796651694569212	-0.290322580645161	"1WK_1_5_2017"	"1WK"	"1"	"5"	"2017"	"NO"	"1"
"CHIG"	1.84126984126984	0.0695652173913044	5.72727272727273	"1WK_1_5_2017"	"1WK"	"1"	"5"	"2017"	"NO"	"1"
"GNDVI"	0.479338842975207	0.0336134453781513	0.741176470588235	"1WK_1_5_2017"	"1WK"	"1"	"5"	"2017"	"NO"	"1"
"SRATG"	2.84126984126984	1.0695652173913	6.72727272727273	"1WK_1_5_2017"	"1WK"	"1"	"5"	"2017"	"NO"	"1"
"BNDVI"	0.516666666666667	0.178010471204188	0.8	"1WK_1_5_2018"	"1WK"	"1"	"5"	"2018"	"NO"	"1"
"BWDR"	-0.522309711286089	-0.749303621169916	-0.0526315789473684	"1WK_1_5_2018"	"1WK"	"1"	"5"	"2018"	"NO"	"1"
"CHIG"	2.20634920634921	0.284810126582278	7.58333333333333	"1WK_1_5_2018"	"1WK"	"1"	"5"	"2018"	"NO"	"1"
