"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"ammonium.ppm"	"gravimetric.moisture"	"bd"	"ph"
"1"	"1"	"NO"	"PRE"	"1"	0.22	5.19	1.1763178395222	7.79
"1"	"1"	"NO"	"24H"	"1"	0.188	7.98	NA	NA
"1"	"1"	"NO"	"1WK"	"1"	0.254	9.04	NA	NA
"1"	"1"	"NO"	"4WK"	"1"	0.092	11.81	1.36982017200938	7.67
"1"	"1"	"NO"	"PRE"	"2"	0.229	5.51	0.983678756476684	7.83
"1"	"1"	"NO"	"24H"	"2"	0.101	8.55	NA	NA
"1"	"1"	"NO"	"1WK"	"2"	0.121	5.7	NA	NA
"1"	"1"	"NO"	"4WK"	"2"	0.065	13.51	1.26254224070704	7.44
"1"	"1"	"NO"	"PRE"	"3"	0.171	3.91	1.23955359460161	7.76
"1"	"1"	"NO"	"24H"	"3"	0.066	7.51	NA	NA
"1"	"1"	"NO"	"1WK"	"3"	0.115	6.56	NA	NA
"1"	"1"	"NO"	"4WK"	"3"	0.036	10.95	1.17270341207349	7.65
"1"	"1"	"NO"	"PRE"	"4"	0.212	4.14	1.18448365334717	7.96
"1"	"1"	"NO"	"24H"	"4"	0.1	6.36	NA	NA
"1"	"1"	"NO"	"1WK"	"4"	0.108	7.07	NA	NA
"1"	"1"	"NO"	"4WK"	"4"	0.035	22.59	1.18365758754864	7.32
"1"	"1"	"NO"	"PRE"	"5"	0.219	2.95	1.1242542153048	7.56
"1"	"1"	"NO"	"24H"	"5"	0.07	8.06	NA	NA
"1"	"1"	"NO"	"1WK"	"5"	0.233	8.93	NA	NA
"1"	"1"	"NO"	"4WK"	"5"	0.065	16.76	1.31887821345105	7.56
"2"	"1"	"LO"	"PRE"	"1"	0.184	6.09	1.28496732026144	7.64
"2"	"1"	"LO"	"24H"	"1"	0.105	7.82	NA	NA
"2"	"1"	"LO"	"1WK"	"1"	0.099	9.75	NA	NA
"2"	"1"	"LO"	"4WK"	"1"	0.055	15.63	1.07531055900621	7.3
"2"	"1"	"LO"	"PRE"	"2"	0.278	6.61	1.22633212622866	7.57
"2"	"1"	"LO"	"24H"	"2"	0.093	7.69	NA	NA
"2"	"1"	"LO"	"1WK"	"2"	0.113	9.09	NA	NA
"2"	"1"	"LO"	"4WK"	"2"	0.03	11.11	1.33169087136929	7.61
"2"	"1"	"LO"	"PRE"	"3"	0.249	5.16	1.22647362978283	7.7
"2"	"1"	"LO"	"24H"	"3"	0.047	8.22	NA	NA
"2"	"1"	"LO"	"1WK"	"3"	0.074	6.69	NA	NA
"2"	"1"	"LO"	"4WK"	"3"	0.053	12.53	1.30819077242094	7.55
"2"	"1"	"LO"	"PRE"	"4"	0.247	2.77	1.0700620475698	7.62
"2"	"1"	"LO"	"24H"	"4"	0.098	9.35	NA	NA
"2"	"1"	"LO"	"1WK"	"4"	0.106	7.09	NA	NA
"2"	"1"	"LO"	"4WK"	"4"	0.042	12.32	1.18801867219917	7.56
"2"	"1"	"LO"	"PRE"	"5"	0.203	5.15	1.21611053180396	7.63
"2"	"1"	"LO"	"24H"	"5"	0.072	7.47	NA	NA
"2"	"1"	"LO"	"1WK"	"5"	0.094	9.49	NA	NA
"2"	"1"	"LO"	"4WK"	"5"	0.014	18.51	1.18952553798289	7.46
