"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"AG"	"BG"	"BX"	"CBH"	"LAP"	"NAG"	"PER1"	"PEROX"	"PHENOX"	"PHOS"
"1"	"1"	"NO"	"PRE"	"1"	0	243.1578003	25.34479978	13.98760297	512.8556714	10.45403277	5.204334685	10.47940576	5.275071077	419.8803075
"1"	"1"	"NO"	"PRE"	"2"	17.276992	351.0759621	74.27281302	19.46279069	520.8974049	23.8403688	0	9.706266076	10.37082291	418.392714
"1"	"1"	"NO"	"PRE"	"3"	14.01294624	251.7964426	32.23654143	9.539934326	471.1939363	6.128421149	4.011550871	8.45665665	4.445105779	306.2179116
"1"	"1"	"NO"	"PRE"	"4"	2.899641968	258.6911137	14.92307641	18.15376403	516.1984127	5.424627451	0	4.625308055	6.358744233	135.2342521
"1"	"1"	"NO"	"PRE"	"5"	16.16095351	226.3613949	39.40244407	15.80312248	500.4843364	6.55096674	6.225115322	8.91831036	2.693195038	171.9697236
"1"	"1"	"NO"	"24H"	"1"	12.64278703	351.3397655	60.85749322	28.52496965	517.0446364	0	4.521886502	9.684932053	5.163045552	47.27059275
"1"	"1"	"NO"	"24H"	"2"	21.12100965	509.8618395	64.11135215	32.70882514	560.2122464	0	0.064170652	5.360860453	5.296689801	18.73427564
"1"	"1"	"NO"	"24H"	"3"	8.374841656	344.9520226	51.02893786	19.0579413	366.8553935	6.465746996	3.836064722	8.088311559	4.252246837	0
"1"	"1"	"NO"	"24H"	"4"	0	255.8489317	11.13709725	15.84064478	498.8572996	5.117580911	8.010015922	10.56937527	2.55935935	0
"1"	"1"	"NO"	"24H"	"5"	38.42194099	431.6000069	95.72806616	47.94952788	575.2946571	13.07417155	2.128054898	7.651470178	5.52341528	35.1574106
"1"	"1"	"NO"	"1WK"	"1"	91.11702952	944.0045644	170.3108883	130.6619412	763.3964605	88.54349586	1.62317097	6.996322044	5.373151074	416.7875291
"1"	"1"	"NO"	"1WK"	"2"	78.49617466	674.5761292	102.7712626	48.42498315	744.7854983	54.22779634	4.611861363	9.114907851	4.503046487	342.6581401
"1"	"1"	"NO"	"1WK"	"3"	55.40777867	497.2926233	96.34087466	45.97866474	693.5866223	44.16747763	2.530583082	1.694471195	0	276.5887108
"1"	"1"	"NO"	"1WK"	"4"	3.978307313	292.5733198	25.4296758	6.675317833	630.4340167	29.14851387	0	3.597927858	5.307883155	136.2569579
"1"	"1"	"NO"	"1WK"	"5"	53.18297931	574.0702355	109.5580452	53.80589832	750.1596288	184.2167822	1.311793567	3.442797807	2.131004241	361.0465621
"1"	"1"	"NO"	"4WK"	"1"	6.052243971	295.1719215	57.11139201	35.50827855	587.0248495	0	6.311716701	9.064698263	2.752981561	0
"1"	"1"	"NO"	"4WK"	"2"	0.335869911	307.1037527	43.13733377	31.2723637	500.470612	0	5.597472933	11.84084447	6.243371536	0
"1"	"1"	"NO"	"4WK"	"3"	18.77784096	481.6447024	79.46110554	52.97685873	612.1921877	18.93433594	0	1.328721388	4.004654183	0
"1"	"1"	"NO"	"4WK"	"4"	15.49745434	528.2354786	81.86259789	52.92444787	772.9318171	20.62650068	0	5.901090852	7.052763053	0
"1"	"1"	"NO"	"4WK"	"5"	27.38696241	612.8563059	62.09011697	62.74408599	671.3698359	9.000834646	4.19111772	10.11411865	5.923000927	0
"2"	"1"	"LO"	"PRE"	"1"	0	262.6558716	17.43730867	10.78937063	406.7934884	0	4.979316285	13.17226852	8.192952231	260.2496201
"2"	"1"	"LO"	"PRE"	"2"	52.55323178	659.2120561	146.3997722	98.70131301	796.7853619	93.8077297	9.75428498	12.46944493	2.715159953	421.1522178
"2"	"1"	"LO"	"PRE"	"3"	34.70936827	324.0762042	53.67192284	22.43856136	529.7270592	22.63325263	5.011918616	9.609951558	4.598032943	218.7877082
"2"	"1"	"LO"	"PRE"	"4"	10.57894932	244.0183362	37.95024642	8.731943649	471.7429826	15.7708473	7.898797055	12.47571583	4.576918775	72.95117071
"2"	"1"	"LO"	"PRE"	"5"	22.98105701	321.2214462	55.35671431	49.37410805	597.9584817	36.53725774	7.06991232	11.99605726	4.926144939	105.9123831
"2"	"1"	"LO"	"24H"	"1"	13.30049826	408.2923941	83.92102732	35.12116625	511.3419604	4.363528788	3.480749039	8.525495031	5.044745991	8.384816705
"2"	"1"	"LO"	"24H"	"2"	10.96926209	499.4824042	50.07289326	29.70402223	517.9283506	22.12846801	11.82130337	12.87792113	1.056617764	0
"2"	"1"	"LO"	"24H"	"3"	21.22233846	508.7928781	74.3092836	40.31942939	630.8162283	9.474333643	9.902991918	12.6369863	2.733994383	5.351363922
"2"	"1"	"LO"	"24H"	"4"	17.30430663	470.2328458	56.0873589	27.88502138	539.6522935	5.085384708	6.724948036	8.462342153	1.737394117	0.110298672
"2"	"1"	"LO"	"24H"	"5"	22.02943861	381.5082801	52.68241234	30.02695982	459.8983497	0	8.780023629	13.52703996	4.747016329	0
"2"	"1"	"LO"	"1WK"	"1"	55.45698127	624.2825015	98.16760947	74.71134585	777.8341482	177.3169392	5.149545351	7.663738208	2.514192857	361.0839542
"2"	"1"	"LO"	"1WK"	"2"	7.539419931	319.2899581	45.52032151	17.27251005	431.4069969	27.42807678	0	4.069332566	6.484874164	144.6804568
"2"	"1"	"LO"	"1WK"	"3"	7.749072466	340.0198384	15.55328349	12.02876065	493.5929326	14.90017848	4.027096407	11.44171887	7.414622468	63.42447173
"2"	"1"	"LO"	"1WK"	"4"	23.14804861	357.3682241	57.60101369	27.61709444	514.9809433	25.12785129	1.70011556	9.988537825	8.288422265	139.3825396
"2"	"1"	"LO"	"1WK"	"5"	56.20260806	576.1115733	102.6601917	54.66475135	301.6324053	60.97406798	3.159051343	7.071107019	3.912055676	172.6876951
"2"	"1"	"LO"	"4WK"	"1"	28.50214223	731.8732178	106.9929525	74.07683426	826.1505626	44.04135026	0.73108155	9.592954302	8.861872752	63.15315827
"2"	"1"	"LO"	"4WK"	"2"	0	280.9733632	38.31965	25.20975415	398.517859	1.122207604	4.251410743	10.85491185	6.603501105	0
"2"	"1"	"LO"	"4WK"	"3"	20.20412523	408.0554156	79.15992486	53.14804912	546.4262555	14.64841177	7.560979145	9.561495808	2.000516662	0
"2"	"1"	"LO"	"4WK"	"4"	0	324.7382773	39.30966645	29.6494019	543.7804212	10.77360562	0.814231204	5.658931491	4.844700287	0
"2"	"1"	"LO"	"4WK"	"5"	0	354.4536854	76.06079079	47.12440437	701.1843168	15.9893349	1.475983248	12.06327466	10.58729141	0
"3"	"1"	"HI"	"PRE"	"1"	0	363.0983151	64.38018104	39.07186361	621.0287763	34.47185086	1.559385791	8.416919101	6.85753331	297.4062071
"3"	"1"	"HI"	"PRE"	"2"	0	428.0118085	77.89810126	34.97433227	662.6560176	34.77008457	2.410669076	8.664605162	6.253936085	167.8107811
"3"	"1"	"HI"	"PRE"	"3"	43.44269312	637.3407625	102.4239093	71.62087175	677.9887377	92.10863944	7.349894194	11.19544222	3.845548022	23.52082138
"3"	"1"	"HI"	"PRE"	"4"	67.39994617	615.1979675	180.9749516	82.15198186	519.9876036	101.3518862	3.767406643	16.19756591	12.43015927	11.98747027
"3"	"1"	"HI"	"PRE"	"5"	38.95500606	637.7801507	147.0303814	55.76475501	443.645816	81.50865927	9.582467973	14.86686679	5.284398819	38.85844846
"3"	"1"	"HI"	"24H"	"1"	5.32824968	293.0719544	48.26776513	25.34821642	437.9430058	7.524493997	7.481148575	13.13108751	5.649938934	0
"3"	"1"	"HI"	"24H"	"2"	10.96127032	356.6988885	51.52265187	28.04160537	455.785803	9.28642139	4.797300955	12.98196008	8.184659125	0
"3"	"1"	"HI"	"24H"	"3"	76.29292691	807.3451822	187.2041195	93.48159053	970.9603395	102.0836565	12.88291228	16.65242413	3.769511847	144.9931276
"3"	"1"	"HI"	"24H"	"4"	22.18383836	431.0905969	84.32517126	41.23605762	801.7482996	33.64406842	7.678802542	20.49280898	12.81400644	4.434210321
"3"	"1"	"HI"	"24H"	"5"	22.43996602	386.242206	87.48982232	37.72655033	764.3698328	36.4344393	15.5217656	20.78689125	5.265125652	45.7550489
"3"	"1"	"HI"	"1WK"	"1"	47.39758721	498.9299561	105.0817686	44.07099703	629.8178877	59.2179251	3.92492462	9.501984083	5.577059463	288.3144823
"3"	"1"	"HI"	"1WK"	"2"	101.7864894	737.4832196	143.0330922	62.13238124	640.7049882	64.01206545	3.711832492	0.898146067	0	167.0872779
"3"	"1"	"HI"	"1WK"	"3"	53.6447289	492.5091322	94.28822588	42.46090028	490.3956364	49.27882547	4.277449053	5.023991828	0.746542775	143.2458373
"3"	"1"	"HI"	"1WK"	"4"	70.5547005	619.5308697	106.9710726	65.48966696	620.6173445	42.70932423	4.396967028	7.414192975	3.017225947	185.5255761
"3"	"1"	"HI"	"1WK"	"5"	84.39640079	657.9077631	167.9546713	82.31716124	670.3542888	60.8540314	0.876939762	0	0	164.5910048
"3"	"1"	"HI"	"4WK"	"1"	18.40512232	470.0373683	66.01354041	47.02734179	484.4104031	12.88829252	5.548691378	17.31657769	11.76788631	0
"3"	"1"	"HI"	"4WK"	"2"	4.949727622	378.7102725	47.63279004	34.17644058	455.6758719	0.014227357	2.715361583	15.41619067	12.70082909	0
"3"	"1"	"HI"	"4WK"	"3"	28.31117093	556.329431	105.5320068	62.26258585	641.2327454	37.16182216	6.704815925	18.10702749	11.40221156	0
"3"	"1"	"HI"	"4WK"	"4"	22.11502675	405.4625792	74.89297314	54.05691643	498.1447235	4.793502501	3.733460783	12.00617506	8.27271428	0
"3"	"1"	"HI"	"4WK"	"5"	50.17802038	703.8448079	139.6233919	92.27296034	708.5336989	55.23641146	0	6.616240913	8.231815175	0
"4"	"2"	"NO"	"PRE"	"1"	25.21310027	398.153115	114.7231878	47.84371107	575.0416982	61.99064332	1.067400074	7.413143585	6.345743511	1.871253224
"4"	"2"	"NO"	"PRE"	"2"	50.77803587	534.0985824	128.483737	60.46278385	572.3977701	68.83255472	0.789812224	3.290249491	2.500437268	0
"4"	"2"	"NO"	"PRE"	"3"	69.65689574	565.8968296	144.7062908	74.10158209	616.2934323	125.4560585	0.229907596	6.658028032	6.428120436	0
"4"	"2"	"NO"	"PRE"	"4"	47.48497113	434.3166095	104.8719203	55.414339	446.375414	55.00227755	7.005472879	8.280390161	1.274917282	0
"4"	"2"	"NO"	"PRE"	"5"	43.89250141	464.5353276	97.71393068	50.28184315	463.6905979	66.054206	9.150554027	9.049720058	0	0
"4"	"2"	"NO"	"24H"	"1"	5.832739972	303.7502058	46.10376739	20.9738565	716.8140596	0	3.935773726	11.35474897	7.418975243	0
"4"	"2"	"NO"	"24H"	"2"	30.65005882	356.5524783	68.9821502	29.97640222	553.8995219	30.52489941	9.132586519	13.40133363	4.268747115	0
"4"	"2"	"NO"	"24H"	"3"	0.763193058	275.9291916	31.40990068	17.869959	547.0626245	0	0	6.138642971	9.442010094	0
"4"	"2"	"NO"	"24H"	"4"	13.94644858	336.3326067	62.78833808	28.56325517	614.4469518	41.17998254	7.689773193	11.19439215	3.504618954	0
"4"	"2"	"NO"	"24H"	"5"	11.76436146	366.6182596	61.03261814	29.97240701	517.6487037	0	0	0	0	0
"4"	"2"	"NO"	"1WK"	"1"	42.77955894	463.2539926	51.86880339	42.56408626	494.0372153	38.73633338	6.746549381	7.651635762	0.905086381	63.40236234
"4"	"2"	"NO"	"1WK"	"2"	45.96329007	405.4633592	76.63598306	48.33176774	646.3502659	36.32094958	0	0.326304118	2.738380047	62.6021556
"4"	"2"	"NO"	"1WK"	"3"	75.66254744	530.0951242	123.517253	67.8258053	615.0247054	76.87959879	1.005711843	4.351927055	3.346215212	50.39961894
"4"	"2"	"NO"	"1WK"	"4"	41.01290834	400.2035655	69.75966722	23.63874557	641.7868044	30.2186044	2.843831147	3.962826309	1.118995162	1.491020171
"4"	"2"	"NO"	"1WK"	"5"	31.33332507	465.1597425	65.40839876	29.09133449	685.5919169	49.39561707	3.065317068	5.164079162	2.098762094	89.36170908
"4"	"2"	"NO"	"4WK"	"1"	17.26946029	487.7271416	83.39723995	56.28005891	515.7969131	25.7337563	0	0	3.967189418	0
"4"	"2"	"NO"	"4WK"	"2"	14.81044973	448.5421466	87.65062571	51.92993815	575.8731826	19.53223363	0	3.375177268	6.808286724	0
"4"	"2"	"NO"	"4WK"	"3"	24.27646393	399.7355521	98.12491351	47.25978638	512.5981548	39.85247772	0.720961021	4.579519601	3.85855858	0
"4"	"2"	"NO"	"4WK"	"4"	35.10726085	447.0075929	70.2306471	49.20950049	587.6016353	20.56159399	6.431264939	4.274924632	0	0
"4"	"2"	"NO"	"4WK"	"5"	40.00600755	541.8054821	92.82604799	62.2174223	667.9143927	39.40581201	1.059729243	7.908267781	6.848538538	0
"5"	"2"	"LO"	"PRE"	"1"	22.65337228	224.3068877	51.41703554	20.39589224	497.9438267	67.87376784	4.899830428	6.249803987	1.349973559	0
"5"	"2"	"LO"	"PRE"	"2"	63.87719035	692.4766191	157.44987	58.51328133	459.5035909	105.0924851	6.488143544	7.173889346	0.685745802	0
"5"	"2"	"LO"	"PRE"	"3"	75.1454661	537.2448696	139.3361948	59.03658407	581.4471989	90.57111629	1.710816844	4.757708615	3.046891771	0
"5"	"2"	"LO"	"PRE"	"4"	34.19465193	501.9989125	79.40315162	62.11035691	639.0928842	64.44752209	0	0	1.805071244	0
