"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"Substrate"	"Enzyme_nm_g_hr"
"1"	"1"	"NO"	"PRE"	"1"	"AG"	0
"1"	"1"	"NO"	"24H"	"1"	"AG"	12.64278703
"1"	"1"	"NO"	"1WK"	"1"	"AG"	91.11702952
"1"	"1"	"NO"	"4WK"	"1"	"AG"	6.052243971
"1"	"1"	"NO"	"PRE"	"1"	"BG"	243.1578003
"1"	"1"	"NO"	"24H"	"1"	"BG"	351.3397655
"1"	"1"	"NO"	"1WK"	"1"	"BG"	944.0045644
"1"	"1"	"NO"	"4WK"	"1"	"BG"	295.1719215
"1"	"1"	"NO"	"PRE"	"1"	"BX"	25.34479978
"1"	"1"	"NO"	"24H"	"1"	"BX"	60.85749322
"1"	"1"	"NO"	"1WK"	"1"	"BX"	170.3108883
"1"	"1"	"NO"	"4WK"	"1"	"BX"	57.11139201
"1"	"1"	"NO"	"PRE"	"1"	"CBH"	13.98760297
"1"	"1"	"NO"	"24H"	"1"	"CBH"	28.52496965
"1"	"1"	"NO"	"1WK"	"1"	"CBH"	130.6619412
"1"	"1"	"NO"	"4WK"	"1"	"CBH"	35.50827855
"1"	"1"	"NO"	"PRE"	"1"	"LAP"	512.8556714
"1"	"1"	"NO"	"24H"	"1"	"LAP"	517.0446364
"1"	"1"	"NO"	"1WK"	"1"	"LAP"	763.3964605
"1"	"1"	"NO"	"4WK"	"1"	"LAP"	587.0248495
"1"	"1"	"NO"	"PRE"	"1"	"NAG"	10.45403277
"1"	"1"	"NO"	"24H"	"1"	"NAG"	0
"1"	"1"	"NO"	"1WK"	"1"	"NAG"	88.54349586
"1"	"1"	"NO"	"4WK"	"1"	"NAG"	0
"1"	"1"	"NO"	"PRE"	"1"	"PER1"	5.204334685
"1"	"1"	"NO"	"24H"	"1"	"PER1"	4.521886502
"1"	"1"	"NO"	"1WK"	"1"	"PER1"	1.62317097
"1"	"1"	"NO"	"4WK"	"1"	"PER1"	6.311716701
"1"	"1"	"NO"	"PRE"	"1"	"PEROX"	10.47940576
"1"	"1"	"NO"	"24H"	"1"	"PEROX"	9.684932053
"1"	"1"	"NO"	"1WK"	"1"	"PEROX"	6.996322044
"1"	"1"	"NO"	"4WK"	"1"	"PEROX"	9.064698263
"1"	"1"	"NO"	"PRE"	"1"	"PHENOX"	5.275071077
"1"	"1"	"NO"	"24H"	"1"	"PHENOX"	5.163045552
"1"	"1"	"NO"	"1WK"	"1"	"PHENOX"	5.373151074
"1"	"1"	"NO"	"4WK"	"1"	"PHENOX"	2.752981561
"1"	"1"	"NO"	"PRE"	"1"	"PHOS"	419.8803075
"1"	"1"	"NO"	"24H"	"1"	"PHOS"	47.27059275
"1"	"1"	"NO"	"1WK"	"1"	"PHOS"	416.7875291
"1"	"1"	"NO"	"4WK"	"1"	"PHOS"	0
"1"	"1"	"NO"	"PRE"	"2"	"AG"	17.276992
"1"	"1"	"NO"	"24H"	"2"	"AG"	21.12100965
"1"	"1"	"NO"	"1WK"	"2"	"AG"	78.49617466
"1"	"1"	"NO"	"4WK"	"2"	"AG"	0.335869911
"1"	"1"	"NO"	"PRE"	"2"	"BG"	351.0759621
"1"	"1"	"NO"	"24H"	"2"	"BG"	509.8618395
"1"	"1"	"NO"	"1WK"	"2"	"BG"	674.5761292
