"Plot"	"Block"	"Treatment"	"GrazeTime"	"Initial"	"Final"	"Count"	"Reading"
1	1	"NO"	"PRE"	9261	11826	100	25.65
1	1	"NO"	"24H"	47859	50003	99	21.6565656565657
1	1	"NO"	"1WK"	91172	93776	119	21.8823529411765
1	1	"NO"	"4WK"	37939	40190	100	22.51
2	1	"LO"	"PRE"	2006	4758	97	28.3711340206186
2	1	"LO"	"24H"	55008	57360	103	22.8349514563107
2	1	"LO"	"1WK"	94332	96270	109	17.7798165137615
2	1	"LO"	"4WK"	35105	37471	120	19.7166666666667
3	1	"HI"	"PRE"	11851	15460	98	36.8265306122449
3	1	"HI"	"24H"	50677	53494	99	28.4545454545455
3	1	"HI"	"1WK"	96988	99747	93	29.6666666666667
3	1	"HI"	"4WK"	30793	34581	111	34.1261261261261
4	2	"NO"	"PRE"	15510	18365	98	29.1326530612245
4	2	"NO"	"24H"	77763	80815	116	26.3103448275862
4	2	"NO"	"1WK"	10885	14354	119	29.1512605042017
4	2	"NO"	"4WK"	54448	58036	124	28.9354838709677
5	2	"LO"	"PRE"	18365	21497	99	31.6363636363636
5	2	"LO"	"24H"	73674	77708	140	28.8142857142857
5	2	"LO"	"1WK"	14973	18226	142	22.9084507042254
5	2	"LO"	"4WK"	58736	62195	129	26.8139534883721
6	2	"HI"	"PRE"	21668	24676	98	30.6938775510204
6	2	"HI"	"24H"	71055	73627	110	23.3818181818182
6	2	"HI"	"1WK"	18822	21759	116	25.3189655172414
6	2	"HI"	"4WK"	62754	66493	139	26.8992805755396
7	3	"LO"	"PRE"	35707	38162	95	25.8421052631579
7	3	"LO"	"24H"	58583	61835	122	26.655737704918
7	3	"LO"	"1WK"	376	2788	122	19.7704918032787
7	3	"LO"	"4WK"	40749	43806	141	21.6808510638298
8	3	"NO"	"PRE"	33113	35706	97	26.7319587628866
8	3	"NO"	"24H"	62690	65654	107	27.7009345794393
8	3	"NO"	"1WK"	3522	6200	98	27.3265306122449
8	3	"NO"	"4WK"	44653	49209	161	28.2981366459627
9	3	"HI"	"PRE"	30447	33092	101	26.1881188118812
9	3	"HI"	"24H"	66204	68288	107	19.4766355140187
9	3	"HI"	"1WK"	6718	9667	139	21.2158273381295
9	3	"HI"	"4WK"	49249	52988	167	22.3892215568862
10	4	"HI"	"PRE"	45779	47759	95	20.8421052631579
10	4	"HI"	"24H"	88063	89952	112	16.8660714285714
10	4	"HI"	"1WK"	27429	29507	110	18.8909090909091
10	4	"HI"	"4WK"	74026	76506	130	19.0769230769231
11	4	"LO"	"PRE"	43544	45779	100	22.35
11	4	"LO"	"24H"	84856	87359	113	22.1504424778761
11	4	"LO"	"1WK"	25443	26970	95	16.0736842105263
11	4	"LO"	"4WK"	71613	73558	117	16.6239316239316
12	4	"NO"	"PRE"	40495	43538	103	29.5436893203883
12	4	"NO"	"24H"	81041	84057	102	29.5686274509804
12	4	"NO"	"1WK"	21883	24817	101	29.049504950495
12	4	"NO"	"4WK"	67542	71184	116	31.3965517241379
