"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"Intial"	"Final"	"Count"	"Trample"	"Graze"
"1"	"1"	"NO"	"PRE"	"1"	6580	6599	5	0	0
"1"	"1"	"NO"	"24H"	"1"	50393	50554	5	0	0
"1"	"1"	"NO"	"1WK"	"1"	90614	90794	5	0	0
"1"	"1"	"NO"	"4WK"	"1"	37471	37558	5	0	0
"1"	"1"	"NO"	"PRE"	"2"	6770	6903	5	0	0
"1"	"1"	"NO"	"24H"	"2"	50293	50393	5	0	0
"1"	"1"	"NO"	"1WK"	"2"	90794	90904	5	0	0
"1"	"1"	"NO"	"4WK"	"2"	37558	37617	5	0	0
"1"	"1"	"NO"	"PRE"	"3"	6977	7081	5	0	0
"1"	"1"	"NO"	"24H"	"3"	50188	50293	5	0	0
"1"	"1"	"NO"	"1WK"	"3"	90904	90992	5	0	0
"1"	"1"	"NO"	"4WK"	"3"	37617	37710	5	0	0
"1"	"1"	"NO"	"PRE"	"4"	7081	7176	5	0	0
"1"	"1"	"NO"	"24H"	"4"	50111	50187	5	0	0
"1"	"1"	"NO"	"1WK"	"4"	90992	91075	5	0	0
"1"	"1"	"NO"	"4WK"	"4"	37710	37823	5	0	0
"1"	"1"	"NO"	"PRE"	"5"	7200	7321	5	0	0
"1"	"1"	"NO"	"24H"	"5"	50003	50111	5	0	0
"1"	"1"	"NO"	"1WK"	"5"	91075	91172	5	0	0
"1"	"1"	"NO"	"4WK"	"5"	37823	37939	5	0	0
"2"	"1"	"LO"	"PRE"	"1"	7373	7521	5	0	0
"2"	"1"	"LO"	"24H"	"1"	54396	54482	5	0	60
"2"	"1"	"LO"	"1WK"	"1"	93826	93916	5	10	80
"2"	"1"	"LO"	"4WK"	"1"	34623	34709	5	30	70
"2"	"1"	"LO"	"PRE"	"2"	7545	7705	5	0	0
"2"	"1"	"LO"	"24H"	"2"	54482	54591	5	0	50
"2"	"1"	"LO"	"1WK"	"2"	93916	94005	5	10	50
"2"	"1"	"LO"	"4WK"	"2"	34709	34816	5	10	90
"2"	"1"	"LO"	"PRE"	"3"	7709	7844	5	0	0
"2"	"1"	"LO"	"24H"	"3"	54652	54736	5	80	10
"2"	"1"	"LO"	"1WK"	"3"	94005	94067	5	10	90
"2"	"1"	"LO"	"4WK"	"3"	34816	34875	5	50	70
"2"	"1"	"LO"	"PRE"	"4"	7869	8004	5	0	0
"2"	"1"	"LO"	"24H"	"4"	54927	55008	5	10	70
"2"	"1"	"LO"	"1WK"	"4"	94067	94159	5	0	30
"2"	"1"	"LO"	"4WK"	"4"	34875	34930	5	30	80
"2"	"1"	"LO"	"PRE"	"5"	8050	8181	5	0	0
"2"	"1"	"LO"	"24H"	"5"	54736	54828	5	10	0
"2"	"1"	"LO"	"1WK"	"5"	94159	94312	5	0	20
"2"	"1"	"LO"	"4WK"	"5"	34930	35099	5	50	5
"3"	"1"	"HI"	"PRE"	"1"	8337	8549	5	0	0
"3"	"1"	"HI"	"24H"	"1"	53759	53870	5	20	10
"3"	"1"	"HI"	"1WK"	"1"	96320	96508	5	40	10
"3"	"1"	"HI"	"4WK"	"1"	30303	30392	5	50	10
"3"	"1"	"HI"	"PRE"	"2"	8549	8673	5	0	0
"3"	"1"	"HI"	"24H"	"2"	53870	53999	5	80	0
"3"	"1"	"HI"	"1WK"	"2"	96508	96574	5	30	20
"3"	"1"	"HI"	"4WK"	"2"	30392	30467	5	30	80
"3"	"1"	"HI"	"PRE"	"3"	8735	8940	5	0	0
"3"	"1"	"HI"	"24H"	"3"	53999	54095	5	50	80
"3"	"1"	"HI"	"1WK"	"3"	96574	96682	5	20	50
"3"	"1"	"HI"	"4WK"	"3"	30467	30573	5	60	5
"3"	"1"	"HI"	"PRE"	"4"	24749	24960	5	0	0
"3"	"1"	"HI"	"24H"	"4"	54095	54335	5	20	10
"3"	"1"	"HI"	"1WK"	"4"	96682	96847	5	10	10
"3"	"1"	"HI"	"4WK"	"4"	30573	30691	5	80	0
"3"	"1"	"HI"	"PRE"	"5"	25010	25206	5	0	0
"3"	"1"	"HI"	"24H"	"5"	53494	53724	5	0	20
"3"	"1"	"HI"	"1WK"	"5"	96847	96988	5	0	50
"3"	"1"	"HI"	"4WK"	"5"	30691	30793	5	30	30
"4"	"2"	"NO"	"PRE"	"1"	25268	25413	5	0	0
"4"	"2"	"NO"	"24H"	"1"	68498	68605	5	0	0
"4"	"2"	"NO"	"1WK"	"1"	10085	10254	5	0	0
"4"	"2"	"NO"	"4WK"	"1"	53685	53805	5	0	0
"4"	"2"	"NO"	"PRE"	"2"	25413	25552	5	0	0
"4"	"2"	"NO"	"24H"	"2"	68611	68708	5	0	0
"4"	"2"	"NO"	"1WK"	"2"	10254	10424	5	0	0
"4"	"2"	"NO"	"4WK"	"2"	53805	53959	5	0	0
"4"	"2"	"NO"	"PRE"	"3"	25552	25690	5	0	0
"4"	"2"	"NO"	"24H"	"3"	68708	68863	5	0	0
"4"	"2"	"NO"	"1WK"	"3"	10424	10591	5	0	0
"4"	"2"	"NO"	"4WK"	"3"	54070	54210	5	0	0
"4"	"2"	"NO"	"PRE"	"4"	25696	25841	5	0	0
"4"	"2"	"NO"	"24H"	"4"	68863	69015	5	0	0
"4"	"2"	"NO"	"1WK"	"4"	10591	10727	5	0	0
"4"	"2"	"NO"	"4WK"	"4"	53959	54070	5	0	0
"4"	"2"	"NO"	"PRE"	"5"	25859	25974	5	0	0
"4"	"2"	"NO"	"24H"	"5"	69065	69198	5	0	0
"4"	"2"	"NO"	"1WK"	"5"	10727	10868	5	0	0
"4"	"2"	"NO"	"4WK"	"5"	54210	54448	5	0	0
"5"	"2"	"LO"	"PRE"	"1"	26044	26239	5	0	0
"5"	"2"	"LO"	"24H"	"1"	69372	69526	5	20	10
